sku,Name,Brand,Categories,Wholesale,Retail,Description,Images
495840-DBR,Antique Dark Bronze Mask Sculpture,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,480,1056,"13''w x 11''d x 18 1/4''h
Brass
","495840-DBR-1,495840-DBR-2,495840-DBR-3,495840-DBR-4,495840-DBR-5"
495845-DBR,Antique Dark Bronze Young Girl & Her Horse,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,960,2112,"16 7/8''w x 10 1/4''d x 18 5/8''h
Brass
Acacia
","495845-DBR-1,495845-DBR-2,495845-DBR-3,495845-DBR-4,495845-DBR-5"
495919-DBR,Antique Dark Bronze Kiwi in Broken Eggshell,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,283,622.6,"9 1/8''w x 6 5/8''d x 7 5/8''h
Brass
Egg shell
","495919-DBR-1,495919-DBR-2,495919-DBR-3"
495920-BAH,Antique Brass Gripping Hands,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,271,596.2,"7 1/4''w x 5 1/4''d x 8 3/4''h
Brass
Marble
","495920-BAH-1,495920-BAH-2,495920-BAH-3"
495937-BAH,Antique Brass Foo Dog,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,615,1353,"12 3/4''w x 9 3/4''d x 7 5/8''h
Brass
","495937-BAH-1,495937-BAH-2,495937-BAH-3,495937-BAH-4"
495937-STA,Antique Stainless Steel Foo Dog,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,554,1218.8,"12 3/4''w x 9 3/4''d x 7 5/8''h
Stainless steel
","495937-STA-1,495937-STA-2,495937-STA-3,495937-STA-4"
495941-STW,Three White Stainless Steel Wise Monkeys,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,1021,2246.2,"17 3/4''w x 5 7/8''d x 18 1/2''h
Stainless steel
Acacia
","495941-STW-1,495941-STW-2,495941-STW-3,495941-STW-4,495941-STW-5"
495942-STW,White Stainless Steel Turtle Container,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,369,811.8,"11 3/8''w x 7 1/2''d x 6 1/4''h
Stainless steel
","495942-STW-1,495942-STW-2,495942-STW-3,495942-STW-4,495942-STW-5"
495948-DBR,Antique Dark Bronze Stallion Horse Head,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,1218,2679.6,"10 1/2''w x 19 1/4''d x 25''h
Brass
","495948-DBR-1,495948-DBR-2,495948-DBR-3,495948-DBR-4,495948-DBR-5"
495948-STW,White Stainless Steel Stallion Horse Head,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,1218,2679.6,"10 1/2''w x 19 1/4''d x 25''h
Stainless steel
","495948-STW-1,495948-STW-2,495948-STW-3,495948-STW-4,495948-STW-5"
540029-BBK,Art Deco Nude Female Left Sculpture,Jonathan Charles,Decoration > Artistic Ornaments > Sculptures,1034,2274.8,"22 3/8''w x 13 7/8''d x 20 3/4''h
Brass
","540029-BBK-1,540029-BBK-2,540029-BBK-3,540029-BBK-4,540029-BBK-5"
540080-HNW,Wheatfield Painting on a Honey Walnut Frame,Jonathan Charles,Decoration > Artistic Ornaments > Wall Art,394,866.8,"19 5/8''w x 2''d x 17 1/2''h
Acacia
Fabric
","540080-HNW-1,540080-HNW-2"
493287-TDO,Dark Oak Breakfast Tray,Jonathan Charles,Decoration > Home Accents > Trays,363,798.6,"31 5/8''w x 23 1/8''d x 15''h
Oak
Oak veneer
",493287-TDO-1
493801-USK-MAH,Four Poster Mahogany US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,4422,9728.4,"82 3/4''w x 91 3/8''d x 92 1/2''h
Mahogany
Mahogany Khaya Crotch veneer
","493801-USK-MAH-1,493801-USK-MAH-2,493801-USK-MAH-3,493801-USK-MAH-4,493801-USK-MAH-5"
495505-USK-BMA,High Lustre Mahogany & Gilded US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,5886,12949.2,"88''w x 87 1/2''d x 84''h
Acacia
Iron, African Crotch Walnut veneer
","495505-USK-BMA-1,495505-USK-BMA-2,495505-USK-BMA-3,495505-USK-BMA-4"
496026-USK-WBL,Buckingham Bleached Walnut US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,2497,5493.4,"81 1/2''w x 85 1/2''d x 68 7/8''h
Acacia
Fabric, Brass
Classically styled bleached walnut King Bed.","496026-USK-WBL-1,496026-USK-WBL-2,496026-USK-WBL-3,496026-USK-WBL-4,496026-USK-WBL-5"
496079-USK-WBA,Barcelona US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,2768,6089.6,"82''w x 87 1/8''d x 67 3/4''h
Walnut quarter figured veneer
Stainless steel
","496079-USK-WBA-1,496079-USK-WBA-2,496079-USK-WBA-3,496079-USK-WBA-4,496079-USK-WBA-5"
496099-USK-CHK-F053,Antisolar Upholstered Shelter King Bed 002-1-130-CHK,Jonathan Charles,Furniture > Bedroom > Beds,2276,5007.2,"82 1/4''w x 86 3/8''d x 61''h
Oak
Fabric
","496099-USK-CHK-F053-1,496099-USK-CHK-F053-2,496099-USK-CHK-F053-3,496099-USK-CHK-F053-4,496099-USK-CHK-F053-5"
500251-USK-EBO-DCOM,Campaign Style Ebonised Oak US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,3697,8133.4,"82 1/4''w x 88 3/8''d x 64 3/4''h
Oak
Stainless steel
",500251-USK-EBO-DCOM-1
500256-USK-DGA-F300,Gatsby Contemporary US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,2633,5792.6,"81 3/4''w x 88''d x 54 3/4''h
Acacia
Acacia, Fabric
","500256-USK-DGA-F300-1,500256-USK-DGA-F300-2,500256-USK-DGA-F300-3,500256-USK-DGA-F300-4,500256-USK-DGA-F300-5"
500277-USK-DFO,Geometric US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,3162,6956.4,"84 3/4''w x 88''d x 63 1/4''h
Oak
Oak veneer, Brass
","500277-USK-DFO-1,500277-USK-DFO-2,500277-USK-DFO-3,500277-USK-DFO-4,500277-USK-DFO-5"
500295-USK-GYO,Grey Oak US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,3684,8104.8,"83 1/8''w x 86 5/8''d x 59 1/8''h
Oak
Brass
","500295-USK-GYO-1,500295-USK-GYO-2,500295-USK-GYO-3,500295-USK-GYO-4,500295-USK-GYO-5"
500353-USK-WTL,Toulouse US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,3444,7576.8,"82 1/4''w x 91 7/8''d x 68 5/8''h
Walnut quarter figured veneer
Brass
","500353-USK-WTL-1,500353-USK-WTL-2,500353-USK-WTL-3,500353-USK-WTL-4,500353-USK-WTL-5"
500353-USK-WTL-F300,Toulouse Upholstered US King Bed,Jonathan Charles,Furniture > Bedroom > Beds,3567,7847.4,"82 1/4''w x 91 3/4''d x 68 5/8''h
Walnut quarter figured veneer
Fabric, Brass
","500353-USK-WTL-F300-1,500353-USK-WTL-F300-2,500353-USK-WTL-F300-3,500353-USK-WTL-F300-4,500353-USK-WTL-F300-5"
530090-USK-GYO,Morris Bed,Jonathan Charles,Furniture > Bedroom > Beds,3949,8687.8,"83 3/8''w x 87 3/8''d x 94 1/2''h
Oak
Brass, Iron
","530090-USK-GYO-1,530090-USK-GYO-2,530090-USK-GYO-3,530090-USK-GYO-4,530090-USK-GYO-5"
491067-ADG,Antique Dark Grey Low Bookcase with Strap Handles,Jonathan Charles,Furniture > Living > Bookcases,1323,2910.6,"35 5/8''w x 13''d x 36''h
Acacia
Acacia veneer, Karelian Birch
","491067-ADG-1,491067-ADG-2,491067-ADG-3,491067-ADG-4,491067-ADG-5"
491067-DTW,Whitewash Driftwood Low Bookcase with Strap Handles,Jonathan Charles,Furniture > Living > Bookcases,1323,2910.6,"35 5/8''w x 13''d x 36''h
Acacia
Acacia veneer, Karelian Birch
","491067-DTW-1,491067-DTW-2,491067-DTW-3,491067-DTW-4,491067-DTW-5"
491027-CFW,Casual Four Door China Display Cabinet,Jonathan Charles,Furniture > Living > Cabinets,3094,6806.8,"77''w x 18''d x 50''h
Acacia
Glass, Brass, Iron, Acacia veneer
","491027-CFW-1,491027-CFW-2,491027-CFW-3,491027-CFW-4,491027-CFW-5"
491027-DTM,Casual Four Door China Display Cabinet,Jonathan Charles,Furniture > Living > Cabinets,3094,6806.8,"77''w x 18''d x 50 1/4''h
Acacia
Glass, Brass, Iron, Acacia veneer
","491027-DTM-1,491027-DTM-2,491027-DTM-3,491027-DTM-4,491027-DTM-5"
493072-BLA,Sprite Display Cabinet,Jonathan Charles,Furniture > Living > Cabinets,5406,11893.2,"47 1/4''w x 18 1/2''d x 85 3/8''h
Acacia
Oak, Celejeria veneer, Oak veneer, Glass, Brass
","493072-BLA-1,493072-BLA-2"
495063-BMA,Regency Antique Mahogany Display Cabinet,Jonathan Charles,Furniture > Living > Cabinets,4410,9702,"44 3/8''w x 20''d x 84 1/4''h
Acacia
African Crotch Walnut veneer
","495063-BMA-1,495063-BMA-2,495063-BMA-3,495063-BMA-4,495063-BMA-5"
495144-BLA,Traditional Four Door Breakfront Display Cabinet,Jonathan Charles,Furniture > Living > Cabinets,3512,7726.4,"77''w x 18''d x 50''h
Acacia
Karelian Birch
","495144-BLA-1,495144-BLA-2,495144-BLA-3,495144-BLA-4,495144-BLA-5"
500450-BLO,Crest Display Cabinet 001-3-L00-WWO,Jonathan Charles,Furniture > Living > Cabinets,2595,5709,"38''w x 18''d x 85''h
Oak
Oak veneer, Glass, Stainless steel
","500450-BLO-1,500450-BLO-2,500450-BLO-3,500450-BLO-4,500450-BLO-5"
496074-WBA,Barcelona Bar Cabinet,Jonathan Charles,Furniture > Dining > Bars,3014,6630.8,"36''w x 18''d x 69''h
European Walnut Swirl veneer
Brass, Stainless steel
","496074-WBA-1,496074-WBA-2,496074-WBA-3,496074-WBA-4,496074-WBA-5"
500166-LFT-SWB,Op Art Diamond Bright Satinwood Left Drinks Cabinet,Jonathan Charles,Furniture > Dining > Bars,3321,7306.2,"20 1/8''w x 18''d x 75 1/2''h
Acacia
Glass, Brass
","500166-LFT-SWB-1,500166-LFT-SWB-2,500166-LFT-SWB-3,500166-LFT-SWB-4,500166-LFT-SWB-5"
492260-MAH,Georgian Mahogany Secretary,Jonathan Charles,Furniture > Living > Cabinets,5123,11270.6,"40 5/8''w x 22''d x 88 3/8''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Leather , Glass, Brass
","492260-MAH-1,492260-MAH-2,492260-MAH-3,492260-MAH-4,492260-MAH-5"
492260-PBG,Georgian Grey & Gilded Secretary,Jonathan Charles,Furniture > Living > Cabinets,3949,8687.8,"40 5/8''w x 22''d x 88 3/8''h
Acacia veneer
Oak, Oak veneer, Leather , Glass, Brass
","492260-PBG-1,492260-PBG-2,492260-PBG-3,492260-PBG-4,492260-PBG-5"
492833-WLL,Queen Anne Light Walnut Bureau Cabinet with Glass Doors,Jonathan Charles,Furniture > Living > Cabinets,6041,13290.2,"40 3/8''w x 23 1/2''d x 90 1/8''h
Acacia
Boisdior/Emeri veneer , Glass
","492833-WLL-1,492833-WLL-2,492833-WLL-3,492833-WLL-4,492833-WLL-5"
494058-EBF,Directoire Style Ebonised Escritoire,Jonathan Charles,Furniture > Living > Cabinets,3488,7673.6,"44''w x 20''d x 62''h
Acacia
Oak, Oak veneer, Leather , Brass
","494058-EBF-1,494058-EBF-2,494058-EBF-3,494058-EBF-4,494058-EBF-5"
530034-WAA,Alnwick Bureau,Jonathan Charles,Furniture > Living > Cabinets,5652,12434.4,"56 1/2''w x 22 3/8''d x 99''h
Acacia
Oak, Oak veneer, Acacia veneer
","530034-WAA-1,530034-WAA-2,530034-WAA-3,530034-WAA-4,530034-WAA-5"
491062-DTM,Plank Medium Driftwood Low Cabinet & Wine Rack with Strap Handles,Jonathan Charles,Furniture > Living > Cabinets,3026,6657.2,"72''w x 22''d x 38''h
Acacia
Oak, Oak veneer, Brass, Acacia veneer
","491062-DTM-1,491062-DTM-2,491062-DTM-3,491062-DTM-4,491062-DTM-5"
494692-MAH,Bowfront Mahogany Cabinet,Jonathan Charles,Furniture > Living > Cabinets,2368,5209.6,"43 7/8''w x 21 5/8''d x 38 5/8''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass
","494692-MAH-1,494692-MAH-2,494692-MAH-3,494692-MAH-4,494692-MAH-5"
496032-TTG,Berkley Tortoise Accent Cabinet,Jonathan Charles,Furniture > Living > Cabinets,1649,3627.8,"40 1/2''w x 20 1/2''d x 36''h
Walnut quarter veneer
Brass
","496032-TTG-1,496032-TTG-2,496032-TTG-3,496032-TTG-4,496032-TTG-5"
496070-PSG,Barcelona Accent Cabinet,Jonathan Charles,Furniture > Living > Cabinets,2301,5062.2,"41''w x 20''d x 36''h
Acacia
Brass, Silver leaf, Stainless steel
","496070-PSG-1,496070-PSG-2,496070-PSG-3,496070-PSG-4,496070-PSG-5"
500172-LFT-SWB,Op Art Diamond Bright Satinwood Left Storage Cabinet,Jonathan Charles,Furniture > Living > Cabinets,2504,5508.8,"20 1/8''w x 18''d x 75 1/2''h
Acacia
Glass, Brass
","500172-LFT-SWB-1,500172-LFT-SWB-2,500172-LFT-SWB-3,500172-LFT-SWB-4"
500221-ENO-M025,Fusion Cabinet with Marble Top,Jonathan Charles,Furniture > Living > Cabinets,3684,8104.8,"48''w x 20 1/8''d x 38''h
Oak
Brass, Marble
","500221-ENO-M025-1,500221-ENO-M025-2,500221-ENO-M025-3,500221-ENO-M025-4,500221-ENO-M025-5"
500235-SAD,Campaign Style Dark Santos Rosewood Storage Cabinet,Jonathan Charles,Furniture > Living > Cabinets,1446,3181.2,"37''w x 16''d x 28 1/2''h
Santos rosewood veneer
Acacia, White brass
","500235-SAD-1,500235-SAD-2,500235-SAD-3,500235-SAD-4,500235-SAD-5"
500274-WGE-STS,Gatsby Cabinet,Jonathan Charles,Furniture > Living > Cabinets,3020,6644,"36''w x 20 1/8''d x 70 7/8''h
Walnut quarter veneer
Stainless steel
","500274-WGE-STS-1,500274-WGE-STS-2,500274-WGE-STS-3,500274-WGE-STS-4,500274-WGE-STS-5"
500288-DFO,Geometric Accent Cabinet,Jonathan Charles,Furniture > Living > Cabinets,1323,2910.6,"45''w x 19 1/8''d x 33 7/8''h
Oak
Brass
","500288-DFO-1,500288-DFO-2,500288-DFO-3,500288-DFO-4,500288-DFO-5"
500416-BLO-BSM,Diel Acid Etched Door Chest 001-2-L20-EAL,Jonathan Charles,Furniture > Living > Cabinets,3069,6751.8,"48''w x 19 1/8''d x 35 7/8''h
Oak veneer
Oak, Oak veneer, Stainless steel
","500416-BLO-BSM-1,500416-BLO-BSM-2,500416-BLO-BSM-3,500416-BLO-BSM-4,500416-BLO-BSM-5"
530215-WAA,Belleville Washed Acacia Storage Cabinet,Jonathan Charles,Furniture > Living > Cabinets,1913,4208.6,"42''w x 22''d x 34 1/4''h
Acacia
Brass
","530215-WAA-1,530215-WAA-2,530215-WAA-3,530215-WAA-4,530215-WAA-5"
540003-RGT-IPM,Art Deco Imperial Mahogany & Handpainted Right Salon Cabinet,Jonathan Charles,Furniture > Living > Cabinets,4287,9431.4,"44''w x 20''d x 68''h
Mahogany
Mahogany Khaya quarter veneer
","540003-RGT-IPM-1,540003-RGT-IPM-2,540003-RGT-IPM-3,540003-RGT-IPM-4,540003-RGT-IPM-5"
495176-AMA,Macassar Ebony TV Cabinet with White Brass Detail,Jonathan Charles,Furniture > Living > Entertainment Cabinet,2633,5792.6,"72 5/8''w x 19 7/8''d x 20 1/8''h
Acacia
Brass, Amara veneer
",495176-AMA-1
500266-WGE,Gatsby Entertainment Cabinet,Jonathan Charles,Furniture > Living > Entertainment Cabinet,3020,6644,"100''w x 19''d x 26''h
Walnut quarter veneer
Stainless steel
Constructed from hardwood with a hand rubbed, lacquer finish, this case channels the design ethic of the French Modernists.","500266-WGE-1,500266-WGE-2,500266-WGE-3,500266-WGE-4,500266-WGE-5"
500334-DFO,Geometric Entertainment Cabinet,Jonathan Charles,Furniture > Living > Entertainment Cabinet,1968,4329.6,"86''w x 21 1/8''d x 30''h
Oak veneer
Brass
","500334-DFO-1,500334-DFO-2,500334-DFO-3,500334-DFO-4,500334-DFO-5"
500363-WTL,Toulouse Entertainment Cabinet,Jonathan Charles,Furniture > Living > Entertainment Cabinet,3063,6738.6,"90 1/8''w x 20''d x 32 1/4''h
Walnut quarter figured veneer
Brass, Egg shell
","500363-WTL-1,500363-WTL-2,500363-WTL-3,500363-WTL-4,500363-WTL-5"
530226-80L-CLO,Ferdinand Cloudy Oak Entertainment Unit,Jonathan Charles,Furniture > Living > Entertainment Cabinet,2897,6373.4,"80''w x 18 1/2''d x 22''h
Oak
Oak veneer
","530226-80L-CLO-1,530226-80L-CLO-2,530226-80L-CLO-3,530226-80L-CLO-4,530226-80L-CLO-5"
493733-MAH,Gentleman's Mahogany Wardrobe,Jonathan Charles,Furniture > Bedroom > Armoires & Wardrobes,4761,10474.2,"47 1/4''w x 27 1/2''d x 89''h
Acacia
Mahogany Khaya Crotch veneer, Glass
","493733-MAH-1,493733-MAH-2,493733-MAH-3,493733-MAH-4,493733-MAH-5"
495041-WLM,Tartan Haberdashery Chest,Jonathan Charles,Furniture > Bedroom > Armoires & Wardrobes,4588,10093.6,"35 7/8''w x 21''d x 72''h
Acacia
Marquetry veneer, Brass, Hyedua veneer
","495041-WLM-1,495041-WLM-2,495041-WLM-3,495041-WLM-4,495041-WLM-5"
495810-BMA,Mahogany & Gilded Carved Armoire,Jonathan Charles,Furniture > Bedroom > Armoires & Wardrobes,5591,12300.2,"60''w x 29 7/8''d x 88 3/4''h
Acacia
Mahogany Khaya Crown veneer
 (Old salescode: 495810-BMA-GIL)","495810-BMA-1,495810-BMA-2,495810-BMA-3,495810-BMA-4,495810-BMA-5"
500287-DFO,Geometric Haberdashery,Jonathan Charles,Furniture > Bedroom > Armoires & Wardrobes,3414,7510.8,"36''w x 18''d x 73''h
Oak veneer
Brass
","500287-DFO-1,500287-DFO-2,500287-DFO-3,500287-DFO-4,500287-DFO-5"
491004-CFW,Casual Accents Large Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,1599,3517.8,"47 1/4''w x 19 1/8''d x 33 1/4''h
Acacia
Oak, Brass, Acacia veneer
Country walnut chest of drawers on a stepped pedestal base with brass ring handles.","491004-CFW-1,491004-CFW-2,491004-CFW-3,491004-CFW-4,491004-CFW-5"
491004-DTM,Casual Accents Large Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,1599,3517.8,"47 1/4''w x 19 1/8''d x 33 1/4''h
Acacia
Oak, Brass, Acacia veneer
Medium driftwood chest of drawers on a stepped pedestal base with brass ring handles.","491004-DTM-1,491004-DTM-2,491004-DTM-3,491004-DTM-4,491004-DTM-5"
491004-DTW,Casual Accents Large Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,1599,3517.8,"47 1/4''w x 19 1/8''d x 33 1/4''h
Acacia
Oak, Brass, Acacia veneer
Whitewash driftwood chest of drawers on a stepped pedestal base with brass ring handles.","491004-DTW-1,491004-DTW-2,491004-DTW-3,491004-DTW-4,491004-DTW-5"
492213-BRW,Windsor Walnut Bow Front Chest of Four Drawers,Jonathan Charles,Furniture > Bedroom > Chests,1452,3194.4,"23 1/2''w x 17 1/2''d x 29 1/8''h
Acacia
Oak, Oak veneer, Burl veneer, Brass
","492213-BRW-1,492213-BRW-2,492213-BRW-3,492213-BRW-4,492213-BRW-5"
492262-MAH,Buckingham Mahogany Bedside Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,1784,3924.8,"29 1/2''w x 16 1/8''d x 29 3/4''h
Mahogany
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass
","492262-MAH-1,492262-MAH-2,492262-MAH-3,492262-MAH-4,492262-MAH-5"
492721-MAH,Mahogany Chest of Drawers with Raised Base,Jonathan Charles,Furniture > Bedroom > Chests,2504,5508.8,"40 1/4''w x 22''d x 38''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass
","492721-MAH-1,492721-MAH-2,492721-MAH-3,492721-MAH-4,492721-MAH-5"
493089-MAH,Buckingham Mahogany Chest of Drawers with Concave Profile,Jonathan Charles,Furniture > Bedroom > Chests,2110,4642,"32''w x 16 1/8''d x 33 1/8''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Fabric, Brass
","493089-MAH-1,493089-MAH-2,493089-MAH-3,493089-MAH-4,493089-MAH-5"
494023-LAM,Biedermeier Style Mahogany Bow Front Chest,Jonathan Charles,Furniture > Bedroom > Chests,1427,3139.4,"34''w x 19''d x 31 1/2''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer
","494023-LAM-1,494023-LAM-2,494023-LAM-3,494023-LAM-4,494023-LAM-5"
494198-HNL-FRE,Excitation Linen Bombay Chest,Jonathan Charles,Furniture > Bedroom > Chests,1889,4155.8,"38''w x 19''d x 32 7/8''h
Acacia
Oak, Oak veneer, Fabric, Brass, Stainless steel
","494198-HNL-FRE-1,494198-HNL-FRE-2,494198-HNL-FRE-3,494198-HNL-FRE-4,494198-HNL-FRE-5"
494386-MAH,Louis XV Mahogany Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,3752,8254.4,"52''w x 22''d x 36''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass
","494386-MAH-1,494386-MAH-2,494386-MAH-3,494386-MAH-4,494386-MAH-5"
494782-AJS-AJC10,Tall chest with blazer buttons (Slate/Silver),Jonathan Charles,Furniture > Bedroom > Chests,2737,6021.4,"36''w x 19''d x 60''h
Acacia
Imitation gold leaf
","494782-AJS-AJC10-1,494782-AJS-AJC10-2,494782-AJS-AJC10-3"
494844-MAH,Regency Mahogany Reverse Breakfront Chest,Jonathan Charles,Furniture > Bedroom > Chests,1870,4114,"43 7/8''w x 20''d x 36''h
Acacia
Oak, Mahogany Khaya Crotch veneer, Oak veneer, Brass
","494844-MAH-1,494844-MAH-2,494844-MAH-3,494844-MAH-4,494844-MAH-5"
494902-SAM,Chippendale style commode with fine inlay,Jonathan Charles,Furniture > Bedroom > Chests,3857,8485.4,"55''w x 24''d x 35 1/4''h
Acacia
Oak, Brass, Gold leaf, Sycamore veneer, Makore veneer
","494902-SAM-1,494902-SAM-2,494902-SAM-3,494902-SAM-4,494902-SAM-5"
495322-RWL,Large Rectangular Rustic Walnut Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,3420,7524,"80''w x 23''d x 40''h
Acacia
Oak, Brass
Large rectangular rustic walnut chest of drawers, top stylish detail inlays, curved shape.","495322-RWL-1,495322-RWL-2,495322-RWL-3,495322-RWL-4,495322-RWL-5"
495417-BEC,"52"" Black Eucalyptus Bombe Chest of Drawers",Jonathan Charles,Furniture > Bedroom > Chests,1975,4345,"52''w x 22''d x 38 1/8''h
Acacia
Brass, Stainless steel, Eucalyptus Figured veneer
","495417-BEC-1,495417-BEC-2,495417-BEC-3,495417-BEC-4,495417-BEC-5"
495563-MAH,Buckingham Small Mahogany Chest of Drawers,Jonathan Charles,Furniture > Bedroom > Chests,1218,2679.6,"30''w x 16''d x 32''h
Acacia
Mahogany Khaya Crotch veneer, Brass
Small chest of drawers with 4 draws in antique mahogany, brass handles and a curved top.","495563-MAH-1,495563-MAH-2,495563-MAH-3,495563-MAH-4,495563-MAH-5"
495822-EB002,Chest of Drawers with Eggshell Inlay & Brass Details,Jonathan Charles,Furniture > Bedroom > Chests,2504,5508.8,"44''w x 20 3/4''d x 35 5/8''h
Acacia
Egg shell
 (Old salescode: 495822-DHE)","495822-EB002-1,495822-EB002-2,495822-EB002-3,495822-EB002-4,495822-EB002-5"
495832-MBL,Small Bleached Mahogany Chest of Drawers with Bone Inlay,Jonathan Charles,Furniture > Bedroom > Chests,1452,3194.4,"28 3/4''w x 16 1/8''d x 29 3/4''h
Mahogany
African Crotch Walnut veneer
Classically styled bleached mahogany bedroom chest with hand cast brass hardware and bone inlay on top.","495832-MBL-1,495832-MBL-2,495832-MBL-3,495832-MBL-4,495832-MBL-5"
496007-BGA,Fulgurite Demi Lune,Jonathan Charles,Furniture > Bedroom > Chests,1753,3856.6,"46 7/8''w x 18 1/8''d x 33 3/4''h
Burl veneer
Acacia, Stainless steel
","496007-BGA-1,496007-BGA-2,496007-BGA-3,496007-BGA-4,496007-BGA-5"
496007-BGA-M025,Hamilton Demilune with Marble,Jonathan Charles,Furniture > Bedroom > Chests,1655,3641,"46 7/8''w x 18 3/8''d x 33 3/4''h
Burl veneer
Brass, Marble
","496007-BGA-M025-1,496007-BGA-M025-2,496007-BGA-M025-3,496007-BGA-M025-4,496007-BGA-M025-5"
496009-PGA,Hamilton Nightstand,Jonathan Charles,Furniture > Bedroom > Chests,1323,2910.6,"24 5/8''w x 19''d x 28 1/4''h
Paldao veneer
Brass
","496009-PGA-1,496009-PGA-2,496009-PGA-3,496009-PGA-4,496009-PGA-5"
