sku,Name,Brand,Categories,Wholesale,Retail,Description,Images
34193LEDEM/NF9,Parma Display Cabinet Right Door,Jansen Furniture,Furniture > Living > Cabinets,2450,4900,"Product Code:       34193LEDEM/NF9 

Dimensions:      W     H     D  
30 in.     82 in.     19.5 in.  

Display cabinet with solid mahogany and santos veneer. delicate inlays from maple, 2 glass shelves, led, brass pulls and brass toe caps. also available: 3 seater 34206, 2 seater 34205, 1 seater 34204, console 34188, mirror 34194, coffee table 34190, side table 34191, tv stand, 34189, sideboard 34192.========== left door opening version is 34540led","34193LEDEM-NF9-1,34193LEDEM-NF9-2,34193LEDEM-NF9-3,34193LEDEM-NF9-4,34193LEDEM-NF9-5"
34169LEDEMD/NF11,Vitrine Jerome,Jansen Furniture,Furniture > Living > Cabinets,1775,3550,"Product Code:       34169LEDEMD/NF11 

Dimensions:      W     H     D  
50 in.     48 in.     19.5 in.  

Finish:      EMD

Vitrine jerome shown in emd finish with nf11 accent. has led light","34169LEDEMD-NF11-1,34169LEDEMD-NF11-2,34169LEDEMD-NF11-3,34169LEDEMD-NF11-4,34169LEDEMD-NF11-5,34169LEDEMD-NF11-6"
34169LEDEMD,Vitrine Jerome,Jansen Furniture,Furniture > Living > Cabinets,1375,2750,"Product Code:       34169LEDEMD 

Dimensions:      W     H     D  
50 in.     48 in.     19.5 in.  

Finish:      EMD

Vitrine jerome matches, coffee table, side table, one, two and three seaters",34169LEDEMD-1
34075LEDEBN,China Cabinet Chinoiserie,Jansen Furniture,Furniture > Living > Cabinets,3950,7900,"Product Code:       34075LEDEBN 

Dimensions:      W     H     D  
70 in.     90 in.     20 in.  

Finish:      EBN

Large china cabinet chinoiserie with led light. shown in black finish with nf4 inside. on the doors rural landscapes are delicately hand painted. the top has 2 glass shelves and mirrored back. the base includes 3 drawers and 2 shelves inside. can be matched with most of our chinoiserie style furniture","34075LEDEBN-1,34075LEDEBN-2"
34022LEDEM,China Cabinet Peninsula,Jansen Furniture,Furniture > Living > Cabinets,3350,6700,"Product Code:       34022LEDEM 

Dimensions:      W     H     D  
45 in.     83 in.     18 in.  

Finish:      EM

China cabinet peninsula with light, hand inlaid floral design on the swirl veneer shown in em finish","34022LEDEM-1,34022LEDEM-2,34022LEDEM-3,34022LEDEM-4"
34001LEDEM,Corner Cabinet Curved Escott,Jansen Furniture,Furniture > Living > Cabinets,3500,7000,"Product Code:       34001LEDEM 

Dimensions:      W     H     D  
35 in.     93 in.     25 in.  

Finish:      EM

Corner cabinet with lattice work on the windows. shown in em finish with led light",34001LEDEM-1
33875LEDEM/N11,French Vitrine With Left Door Open,Jansen Furniture,Furniture > Living > Cabinets,2650,5300,"Product Code:       33875LEDEM/N11 

Dimensions:      W     H     D  
29 in.     81 in.     16 in.  

Finish:      EM

French vitrine with led light. left door opening. with gold accent. also available with right door opening #33283",33875LEDEM-N11-1
33875LED/NF9,French Vitrine Nf9,Jansen Furniture,Furniture > Living > Cabinets,2750,5500,"Product Code:       33875LED/NF9 

Dimensions:      W     H     D  
29 in.     81 in.     16 in.  

French vitrine with led light. left~  door opening. shown in nf9 finish also available with right door opening #33283",33875LED-NF9-1
33788LED/EM,French Pyramid Vitrine Left,Jansen Furniture,Furniture > Living > Cabinets,975,1950,"Product Code:       33788LED/EM 

Dimensions:      W     H     D  
22 in.     71 in.     13 in.  

Finish:      EM

Vitrine, french pyramid display cabinet with led lights shown in em finish. left side opening. for right side opening, see 33787.","33788LED-EM-1,33788LED-EM-2"
33748LEDEM,Breakfront Cardiff With Light,Jansen Furniture,Furniture > Living > Cabinets,4900,9800,"Product Code:       33748LEDEM 

Dimensions:      W     H     D  
75 in.     88 in.     18 in.  

Finish:      EM

Shown in em/jwi finish with light. matches #33747 sideboard","33748LEDEM-1,33748LEDEM-2,33748LEDEM-3,33748LEDEM-4,33748LEDEM-5,33748LEDEM-6,33748LEDEM-7,33748LEDEM-8,33748LEDEM-9,33748LEDEM-10,33748LEDEM-11,33748LEDEM-12,33748LEDEM-13,33748LEDEM-14,33748LEDEM-15"
33516LED/BSC,Cabinet Bombe China,Jansen Furniture,Furniture > Living > Cabinets,3900,7800,"Product Code:       33516LED/BSC 

Dimensions:      W     H     D  
58 in.     83 in.     14 in.  

Finish:      BSC

China cabinet bombe shown in bsc finish with led light and claw feet. very elegant",33516LED-BSC-1
33283LEDEM/NF9,French Vitrine Right Door Open,Jansen Furniture,Furniture > Living > Cabinets,2650,5300,"Product Code:       33283LEDEM/NF9 

Dimensions:      W     H     D  
29 in.     81 in.     16 in.  

Finish:      EM

French vitrine with led light and right door opening. shown in em finish with gold accent. also available with left door opening #33875","33283LEDEM-NF9-1,33283LEDEM-NF9-2,33283LEDEM-NF9-3"
33283LED/NF9,French Vitrine With Led Light,Jansen Furniture,Furniture > Living > Cabinets,2750,5500,"Product Code:       33283LED/NF9 

Dimensions:      W     H     D  
29 in.     81 in.     16 in.  

French vitrine with led light. right door opening. shown in nf9 finish also available with left door opening #33875",33283LED-NF9-1
33266LEDBSC,China Cabinet Angelina With Light,Jansen Furniture,Furniture > Living > Cabinets,2200,4400,"Product Code:       33266LEDBSC 

Dimensions:      W     H     D  
45 in.     80 in.     17.5 in.  

China cabinet angelina with light in burl finish",33266LEDBSC-1
34911EM/NF9,Console Doina,Jansen Furniture,Furniture > Living > Tables > Console Tables,975,1950,"Product Code:       34911EM/NF9 

Dimensions:      L     H     D  
56 in.     34 in.     12 in.  

Finish:      EM

Console doina shown in em finish with nf9 accent - 56 in long","34911EM-NF9-1,34911EM-NF9-2,34911EM-NF9-3,34911EM-NF9-4"
34902SP,Console Table Quatre Special Finish,Jansen Furniture,Furniture > Living > Tables > Console Tables,900,1800,"Product Code:       34902SP 

Dimensions:      L     H     D  
55 in.     35 in.     14 in.  

Console table quatre special finish",34902SP-1
34899SP,Console Bloquer Special Finish,Jansen Furniture,Furniture > Living > Tables > Console Tables,1300,2600,"Product Code:       34899SP 

Dimensions:      L     H     D  
58 in.     36 in.     14 in.  

Console bloquer special finish",34899SP-1
34898EM/W,Regency Console With Marble,Jansen Furniture,Furniture > Living > Tables > Console Tables,1500,3000,"Product Code:       34898EM/W 

Dimensions:      L     H     D  
66 in.     35 in.     14 in.  

Regency console with marble",34898EM-W-1
34874NF9/BL,Maldavi Console Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,3600,7200,"Product Code:       34874NF9/BL 

Dimensions:      W     H     D  
60 in.     36.5 in.     22 in.  

Maldavi console marble top",34874NF9-BL-1
34858NF9-C,Console Plume Large Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,1975,3950,"Product Code:       34858NF9-C 

Dimensions:      W     H     D  
72.5 in.     35 in.     18.5 in.  

Console plume large marble top shown nf9 accent.~  cream marble top",34858NF9-C-1
34840EM/C,Dorna Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,1475,2950,"

Dorna console",34840EM-C-1
34840EM/BL,Dorna Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,1525,3050,"Product Code:       34840EM/BL 

Dimensions:      L     H     D  
55 in.     34 in.     17.75 in.  

",34840EM-BL-1
34837NF12/NF9-BR,Vivin Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,1375,2750,"Product Code:       34837NF12/NF9-BR 

Dimensions:      W     H     D  
40 in.     34 in.     15 in.  

Unique vivin console shown in nf-12 with nf-9 accent and brown marble top",34837NF12-NF9-BR-1
34834EM/NF9-C,Tattas Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,1250,2500,"Product Code:       34834EM/NF9-C 

Dimensions:      W     H     D  
75 in.     34 in.     12.5 in.  

Tattas console, cream marble top",34834EM-NF9-C-1
34833EM/W,"Table Console, Em + White Marble",Jansen Furniture,Furniture > Living > Tables > Console Tables,2190,4380,"Product Code:       34833EM/W 

Dimensions:      L     H     D  
76 in.     35 in.     16 in.  

Elegant table console, em + white marble 76 inches long",34833EM-W-1
34825EM,Console Table Parma Small,Jansen Furniture,Furniture > Living > Tables > Console Tables,1160,2320,"Product Code:       34825EM 

Dimensions:      W     H     D  
45 in.     34 in.     12.2 in.  

Console table parma, small",34825EM-1
34814NF9/CREAM,Console Reno Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,1525,3050,"Product Code:       34814NF9/CREAM 

Dimensions:      W     H     D  
61 in.     31.5 in.     18 in.  

",34814NF9-CREAM-1
34814EM/NF9-black,Console Reno Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,1475,2950,"Product Code:       34814EM/NF9-black 

Dimensions:      W     H     D  
61 in.     31.5 in.     18 in.  

Console reno show in em finish and nf9 accent~  marble top",34814EM-NF9-black-1
34814EM/NF9,Console Reno Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,1475,2950,"Product Code:       34814EM/NF9 

Dimensions:      W     H     D  
61 in.     31.5 in.     18 in.  

",34814EM-NF9-1
34759NF9/C,Console Table Arlette Marble,Jansen Furniture,Furniture > Living > Tables > Console Tables,2150,4300,"Product Code:       34759NF9/C 

Dimensions:      L     H     D  
60 in.     35 in.     20 in.  

Console table arlette marble with nf9 finish , cream top",34759NF9-C-1
34759EM/NF9,Console Table Arlette,Jansen Furniture,Furniture > Living > Tables > Console Tables,2190,4380,"Product Code:       34759EM/NF9 

Dimensions:      W     H     D  
60 in.     35 in.     20 in.  

Wooden top -console table arlette -louis xv style. part of the arlette setting. also available:~  coffee table: 34468, side table 34467",34759EM-NF9-1
34612EM/NF9,Console Table Sheraton,Jansen Furniture,Furniture > Living > Tables > Console Tables,2350,4700,"Product Code:       34612EM/NF9 

Dimensions:      W     H     D  
60 in.     34 in.     23 in.  

Console table sheraton base nf9 top em",34612EM-NF9-1
34612EM/NF11,Console Table Sheraton,Jansen Furniture,Furniture > Living > Tables > Console Tables,2350,4700,"Product Code:       34612EM/NF11 

Dimensions:      W     H     D  
60 in.     34 in.     23 in.  

Finish:      EM

Elegant console table sheraton shown in em finish with nf11 accent",34612EM-NF11-1
34580SG/W,Console Table Plume White Marble,Jansen Furniture,Furniture > Living > Tables > Console Tables,1695,3390,"Product Code:       34580SG/W 

Dimensions:      W     H     D  
58 in.     36 in.     16.5 in.  

Finish:      SG

Elegant console shown with white marble to. solid mahogany in nf15 finish . matching: side table 34582 mirror : 34581","34580SG-W-1,34580SG-W-2,34580SG-W-3,34580SG-W-4"
34580NF9/C,Console Table Plume Cream Marble,Jansen Furniture,Furniture > Living > Tables > Console Tables,1695,3390,"Product Code:       34580NF9/C 

Dimensions:      W     H     D  
58 in.     36 in.     16.5 in.  

Elegant console shown with cream marble top. solid mahogany in nf9 finish . matching: side table 34582",34580NF9-C-1
34580NF9/BL,Console Table Plume Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,1750,3500,"Product Code:       34580NF9/BL 

Dimensions:      W     H     D  
58 in.     36 in.     16.5 in.  

Console table plume marble top shown in nf9 (gold) finish. black marble top",34580NF9-BL-1
34580EM/NF9-B,Console Plume Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,1750,3500,"Product Code:       34580EM/NF9-B 

Dimensions:      W     H     D  
58 in.     36 in.     16.5 in.  

Console plume marble top shown in em/nf9 finish","34580EM-NF9-B-1,34580EM-NF9-B-2,34580EM-NF9-B-3"
34516BSC/BR,Console Table Henry,Jansen Furniture,Furniture > Living > Tables > Console Tables,1490,2980,"Product Code:       34516BSC/BR 

Dimensions:      W     H     D  
60 in.     35 in.     16 in.  

Finish:      BSC

Elegant console table with gold leaf embossed leather top,burl and mahogany veneer. decorative inlay with santos and maple. the 3 drawers can be opened with brass pulls. the legs are decorated with simple brass caps.",34516BSC-BR-1
34471MAD,Wall Console Table,Jansen Furniture,Furniture > Living > Tables > Console Tables,1080,2160,"Product Code:       34471MAD 

Dimensions:      W     H     D  
59 in.     36 in.     12 in.  

Finish:      MED ASH

Wall console table med ash finish","34471MAD-1,34471MAD-2,34471MAD-3,34471MAD-4,34471MAD-5,34471MAD-6,34471MAD-7"
34466MED/ASH,Console Table Pinot,Jansen Furniture,Furniture > Living > Tables > Console Tables,1375,2750,"Product Code:       34466MED/ASH 

Dimensions:      W     H     D  
70 in.     36 in.     15 in.  

Finish:      MEDIUM ASH

Console table pinot shown in med ash finish",34466MED-ASH-1
34457MAD,Wall Console Table Med Ash Distress,Jansen Furniture,Furniture > Living > Tables > Console Tables,600,1200,"Product Code:       34457MAD 

Dimensions:      W     H     D  
31 in.     35 in.     12 in.  

Finish:      MAD MED ASH DISTRESSED

Wall console table med ash distress",34457MAD-1
34409SP,Console Table Cairo,Jansen Furniture,Furniture > Living > Tables > Console Tables,1150,2300,"Product Code:       34409SP 

Dimensions:      W     H     D  
68 in.     32 in.     18.5 in.  

Finish:      SP

Part of the cairo group: mahogany console in art deco style in special black and gold finish. 4 drawers have brass pulls matching: 34410 mirror, 34411 nesting tables., 34408 plant stand",34409SP-1
34380EM,Console Frivole,Jansen Furniture,Furniture > Living > Tables > Console Tables,1440,2880,"Product Code:       34380EM 

Dimensions:      L     H     D  
69 in.     35 in.     18.5 in.  

Finish:      EM

Shown in em finish regency inspired console with elegant fluted legs. the grooved front on the 3 drawers and the simple brass pulls give this console a modern twist.","34380EM-1,34380EM-2,34380EM-3,34380EM-4"
34373SP,Sofa Table Manhattan,Jansen Furniture,Furniture > Living > Tables > Console Tables,625,1250,"Product Code:       34373SP 

Dimensions:      W     H     D  
48 in.     30 in.     16.5 in.  

Finish:      SP

Sofa table manhattan shown in sp finish.~  matches two seater sofa #34362.","34373SP-1,34373SP-2,34373SP-3,34373SP-4"
34371SP,Console Table Manhattan,Jansen Furniture,Furniture > Living > Tables > Console Tables,730,1460,"Product Code:       34371SP 

Dimensions:      W     H     D  
48 in.     30.5 in.     16 in.  

Finish:      SP

Table manhattan","34371SP-1,34371SP-2"
34288EBN,Console Chinoiserie Arthur,Jansen Furniture,Furniture > Living > Tables > Console Tables,725,1450,"Product Code:       34288EBN 

Dimensions:      W     H     D  
51 in.     31.5 in.     14 in.  

Finish:      EBN

Console table with an eglomised top, 2 drawers and extra shelf. finish is ebony and decorative hand painted flowers in chinoiserie style. matching: mirror 34289, coffee table 34209, nesting tables 34291 and side tables 34208 and 34152",34288EBN-1
34244SP,Hall Table La Moda Nuova,Jansen Furniture,Furniture > Living > Tables > Console Tables,1290,2580,"Product Code:       34244SP 

Dimensions:      L     H     D  
61 in.     35 in.     14.5 in.  

Finish:      SP

Hall table 61~ "" long",34244SP-1
34188EM/NF9,Console Parma,Jansen Furniture,Furniture > Living > Tables > Console Tables,1250,2500,"Product Code:       34188EM/NF9 

Dimensions:      W     H     D  
62 in.     35 in.     15 in.  

Finish:      EM

Shown in em- elegant console with solid mahogany and santos veneer. delicate inlays from maple, 2 drawers with brass pulls",34188EM-NF9-1
34101SG/W,Louis Xv Console Table,Jansen Furniture,Furniture > Living > Tables > Console Tables,765,1530,"Product Code:       34101SG/W 

Dimensions:      W     H     D  
40 in.     34 in.     15 in.  

Finish:      SG

Louis xv console table sg finish","34101SG-W-1,34101SG-W-2,34101SG-W-3,34101SG-W-4,34101SG-W-5"
34101NF9/C,Louis Xv Console Table,Jansen Furniture,Furniture > Living > Tables > Console Tables,800,1600,"Product Code:       34101NF9/C 

Dimensions:      L     H     D  
40 in.     34 in.     15 in.  

Finish:      NF9

Louis xv console table with cream marble top.~  shown in nf9 finish","34101NF9-C-1,34101NF9-C-2,34101NF9-C-3,34101NF9-C-4,34101NF9-C-5"
34101EM/C,Louis Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,725,1450,"

Louis console",34101EM-C-1
34054EM,Console Camallia,Jansen Furniture,Furniture > Living > Tables > Console Tables,550,1100,"Product Code:       34054EM 

Dimensions:      W     H     D  
32 in.     27 in.     15 in.  

Finish:      EM

Console camallia shown in em finish",34054EM-1
34049SP,Wall Console Lillian,Jansen Furniture,Furniture > Living > Tables > Console Tables,1580,3160,"Product Code:       34049SP 

Dimensions:      W     H     D  
36 in.     32 in.     18.5 in.  

Finish:      SP

Wall console lillian",34049SP-1
34049EBN/NF9,Wall Console Lillian Ebony/Gilt,Jansen Furniture,Furniture > Living > Tables > Console Tables,1580,3160,"Product Code:       34049EBN/NF9 

Dimensions:      W     H     D  
18 in.     32 in.     18 in.  

Wall console lillian ebony/gilt",34049EBN-NF9-1
33712EM,Bordin Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,875,1750,"Product Code:       33712EM 

Dimensions:      W     H     D  
52.5 in.     31.5 in.     18 in.  

Finish:      EM

Bordin console shown in em finish","33712EM-1,33712EM-2,33712EM-3"
33681BS/EM,Console Marvin,Jansen Furniture,Furniture > Living > Tables > Console Tables,1710,3420,"Product Code:       33681BS/EM 

Dimensions:      W     H     D  
60 in.     31 in.     18 in.  

Console marvin in burl with em finish.. it includes 2 lower shelves, 2 drawers in the top shelf with antique brass pulls, mahogany accents on the corners of the top, and brass casters. can be matched with 33684 bookshelves, 33689 nesting coffee table",33681BS-EM-1
33659EM,Sofa Table Ashcourt,Jansen Furniture,Furniture > Living > Tables > Console Tables,1890,3780,"Product Code:       33659EM 

Dimensions:      L     H     D  
63 in.     31 in.     21 in.  

Finish:      EM

Sofa table ashcourt inlaid wood, with drawers","33659EM-1,33659EM-2"
33640M,Large Wall Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,1345,2690,"Product Code:       33640M 

Dimensions:      W     H     D  
51 in.     31 in.     12 in.  

Finish:      M

Large wall console shown in mahogany",33640M-1
33640EM,Large Wall Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,1345,2690,"Product Code:       33640EM 

Dimensions:      W     H     D  
51 in.     31 in.     12 in.  

Finish:      EM

Wall console shown in em finish.","33640EM-1,33640EM-2,33640EM-3"
33533GJWI,Console Wall Table Louis Xvi,Jansen Furniture,Furniture > Living > Tables > Console Tables,590,1180,"Product Code:       33533GJWI 

Dimensions:      W     H     D  
28 in.     37 in.     16 in.  

Console louis xvi wall table with marble top",33533GJWI-1
33444EM/GR,Louis Console Desserte,Jansen Furniture,Furniture > Living > Tables > Console Tables,1240,2480,"Product Code:       33444EM/GR 

Dimensions:      W     H     D  
45 in.     35 in.     16 in.  

Louis console desserte green marble top",33444EM-GR-1
33444EM/C,Louis Console Desserte,Jansen Furniture,Furniture > Living > Tables > Console Tables,1240,2480,"Product Code:       33444EM/C 

Dimensions:      L     H     D  
45 in.     35 in.     16 in.  

Finish:      EM

Louis console shown in em finish with cream marble top",33444EM-C-1
33436MLSC/C,Carved Wall Console W/Marble,Jansen Furniture,Furniture > Living > Tables > Console Tables,1475,2950,"Product Code:       33436MLSC/C 

Dimensions:      L   W     H  
49 in.   29 in.     35 in.  

Shown in mlsc finish with cream marble",33436MLSC-C-1
33417NF9/B,Victory Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,895,1790,"Product Code:       33417NF9/B 

Dimensions:      L     H     D  
44 in.     36 in.     11 in.  

Finish:      NF9

Victory console with black marble shown in nf-9 finish.",33417NF9-B-1
33417EM/NF11-C,Victory Console,Jansen Furniture,Furniture > Living > Tables > Console Tables,850,1700,"Product Code:       33417EM/NF11-C 

Dimensions:      L     H     D  
44 in.     36 in.     11 in.  

Finish:      EM

Shown in em finish with nf11 accent and cream marble top",33417EM-NF11-C-1
33417EM/C,Victory Console Marble Top,Jansen Furniture,Furniture > Living > Tables > Console Tables,850,1700,"

Victory wall console shown in em finish with cream marble top.",33417EM-C-1
33396,Wall Table Chippendale,Jansen Furniture,Furniture > Living > Tables > Console Tables,975,1950,"Product Code:       33396 

Dimensions:      W     H     D  
54 in.     33 in.     18.5 in.  

Finish:      M

",33396-1
33386NF9-C,French Carved Console Jacqueline,Jansen Furniture,Furniture > Living > Tables > Console Tables,3875,7750,"Product Code:       33386NF9-C 

Dimensions:      L     H     D  
72.5 in.     37 in.     20 in.  

Finish:      NF9

Marble top","33386NF9-C-1,33386NF9-C-2,33386NF9-C-3,33386NF9-C-4,33386NF9-C-5"
