sku,Name,Brand,Category,Wholesale,Retail,Description,Images,Length,Width,Height
EUR-04-0443,Gosforth Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,1850,5088,"The tiza gesso doors have inset, circular stainless steel handles. The case is finished in brown oak, while the interior in natural oak has one adjustable shelf to each cupboard. The turned and tapered legs are silver gilded.","EUR-04-0443-1,EUR-04-0443-3,EUR-04-0443-4,EUR-04-0443-5,EUR-04-0443-10,EUR-04-0443-11","19.5""D","78""W","32""H"
EUR-04-0361,Dante Four-Door Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2170,5968,"The case in beluga white is raised on a brushed stainless steel stand. The doors are faced with tiza gesso with recessed, spun stainless steel handles.","EUR-04-0361-1,EUR-04-0361-3,EUR-04-0361-4,EUR-04-0361-6,EUR-04-0361-7,EUR-04-0361-10","19""D","78""W","34""H"
EUR-04-0526,Harmony Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2440,6710,"A four-door, three-drawer sideboard in oak in a grey driftwood finish is mounted on a steel base in silver white. The doors and drawers are inlaid with a stringlike texture, and the entire front is finished in a continuous pattern of striated lines of varying grey tones.","EUR-04-0526-1,EUR-04-0526-3,EUR-04-0526-4,EUR-04-0526-5,EUR-04-0526-6,EUR-04-0526-10,EUR-04-0526-11","20""D","84""W","34""H"
EUR-04-0400,Woodcroft Three-Door Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,1900,5225,The natural beauty of the matched European walnut burrs is fully shown by this three-door sideboard with tapered Aztec gold legs.,"EUR-04-0400-1,EUR-04-0400-3,EUR-04-0400-4,EUR-04-0400-6,EUR-04-0400-10","20""D","72""W","39""H"
EUR-04-0358,Pearl Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,1925,5294,"Finished in alabaster, this three-door credenza has old gold metal legs and an inset gold églomisé top with gold-line detailing and a beveled edge. The backplates of the handles are inlaid mother-of-pearl.","EUR-04-0358-1,EUR-04-0358-3,EUR-04-0358-4,EUR-04-0358-5,EUR-04-0358-10,EUR-04-0358-11","21.25""D","72.25""W","37.5""H"
EUR-04-0495,Carol Benson-Cobb's Dune Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2355,6476,An ash-veneered case in dark taupe frames Carol Benson-Cobb's Dune image across the six drawers and two doors of this credenza. The two metal legs are in a matching dark taupe finish.,"EUR-04-0495-1,EUR-04-0495-3,EUR-04-0495-4,EUR-04-0495-5,EUR-04-0495-6,EUR-04-0495-7,EUR-04-0495-8,EUR-04-0495-10,EUR-04-0495-11,EUR-04-0495-12","20""D","84""W","36""H"
EUR-04-0312,Ghost White Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,1965,5404,"A hand-carved, low-relief, stylized contemporary petal credenza, with side cabinets that surround four center drawers, sits atop a decorative, bronze-finished metal stand.","EUR-04-0312-1,EUR-04-0312-3,EUR-04-0312-4,EUR-04-0312-6,EUR-04-0312-7,EUR-04-0312-10","19""D","61""W","37""H"
EUR-04-0279,Elizabeth Cabinet,John Richard,Furniture > Living > Cabinets,1310,3603,"This two-door cabinet in our alabaster white paint, with its raised square geometric motif layers on the front and dynamic hardware, will be a focal point in any space.","EUR-04-0279-1,EUR-04-0279-3,EUR-04-0279-6","21.5""D","50""W","37.75""H"
EUR-04-0459,Triesse Four-Door Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2145,5899,"Standing on turned acrylic legs and finished in ice white, this four-door credenza has bold, silvered escargot handles on each pair of doors.","EUR-04-0459-1,EUR-04-0459-3,EUR-04-0459-5,EUR-04-0459-6,EUR-04-0459-7,EUR-04-0459-10,EUR-04-0459-11","20""D","72""W","36.5""H"
EUR-04-0482,Martino Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2330,6408,A four-door sideboard inlaid in linen and finished in white lacquer sits atop polished stainless steel legs. Acrylic and polished stainless steel hardware decorate each door.,"EUR-04-0482-1,EUR-04-0482-3,EUR-04-0482-4,EUR-04-0482-5,EUR-04-0482-6,EUR-04-0482-7,EUR-04-0482-9,EUR-04-0482-10,EUR-04-0482-11","17.5""D","78""W","36""H"
EUR-04-0452,Chelsea Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,3215,8841,This sideboard with a faceted front has three drawers in the center with auto-latch runners. The cabinet is finished in satin black and sits on polished brass stainless steel legs arranged in a V pattern.,"EUR-04-0452-1,EUR-04-0452-3,EUR-04-0452-4,EUR-04-0452-5,EUR-04-0452-6","19""D","77""W","30.25""H"
EUR-04-0478,Black Satin Cabinet,John Richard,Furniture > Living > Cabinets,4475,12306,"A brass-finished stainless steel base supports the stepped, breakfront cabinet with six drawers below the two open display cabinets either side of the center cupboard. The doors and drawer fronts are reeded and finished in satin black, with hardware to match the base. The display units have gold-leaf mirrors to the back, with touch-sensitive lights operated by an inset brass button on the right-hand display cabinet.","EUR-04-0478-1,EUR-04-0478-3,EUR-04-0478-4,EUR-04-0478-5,EUR-04-0478-6,EUR-04-0478-7,EUR-04-0478-10,EUR-04-0478-11","19.5""D","54""W","84""H"
EUR-04-0448,Moonlight Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,3020,8305,"The doors and drawers of this credenza are faced with kazan black, a holistic laminate, and feature brass-plated stainless steel handles. The case is finished in high-gloss black and stands on a brass-finished stainless steel base.","EUR-04-0448-1,EUR-04-0448-3,EUR-04-0448-6","21""D","77.5""W","30""H"
EUR-04-0401,I Dream of Agate Four-Door Cabinet,John Richard,Furniture > Living > Cabinets,2010,5528,"The agate design running across the front of the doors is reverse-hand-painted, above which is a black glass top inset in an Aztec gold frame. The base is also finished in Aztec gold.","EUR-04-0401-1,EUR-04-0401-3,EUR-04-0401-4,EUR-04-0401-10","18""D","72""W","34""H"
EUR-04-0388,Ripples Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,1730,4758,Rustic gold fronts to the doors and drawers resemble reflected ripples in water. The Mayan bronze case complements the rustic gold of the front.,"EUR-04-0388-1,EUR-04-0388-3,EUR-04-0388-4,EUR-04-0388-5,EUR-04-0388-6,EUR-04-0388-7,EUR-04-0388-10,EUR-04-0388-11,EUR-04-0388-12","18""D","69""W","31.5""H"
EUR-04-0384,Jardin Two-Door Cabinet,John Richard,Furniture > Living > Cabinets,1245,3424,"Veneered in macassar ebony, this accent cabinet has a reverse-hand-painted design to replicate aged and etched brass. The handle is finished to complement the doors, as is the steel base on which the cabinet stands.","EUR-04-0384-1,EUR-04-0384-3,EUR-04-0384-4,EUR-04-0384-5,EUR-04-0384-6,EUR-04-0384-7,EUR-04-0384-10,EUR-04-0384-11,EUR-04-0384-12","19.5""D","40""W","32""H"
EUR-04-0489,Sutton Place Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2120,5830,"A clean, modern sideboard features a case in beluga and reverse-painted glass door fronts in a continuous golden dunes design. The doors are mounted with push-latches. The steel base, the top's front edge, and the door edges are in Etruscan gold.","EUR-04-0489-1,EUR-04-0489-3,EUR-04-0489-4,EUR-04-0489-6,EUR-04-0489-10","20""D","84""W","34.5""H"
EUR-04-0147,Rio Two-Door Cabinet,John Richard,Furniture > Living > Cabinets,1725,4744,"Below the black glass top, the doors and steel base frame are finished in old gold, while the ends are black lacquer. The doors have a central, decorative, carved spiral twist feature applied over foxed mirror panes. The spiral twist is echoed in the steel base and handles. The left side of the cabinet has an X-frame.","EUR-04-0147-1,EUR-04-0147-3,EUR-04-0147-4,EUR-04-0147-5,EUR-04-0147-10","21""D","47.5""W","32.5""H"
EUR-04-0164,Rio Four-Door Dresser,John Richard,Furniture > Living > Cabinets,2745,7549,"Below the black glass top, the doors and steel base frame are finished in old gold, while the ends are black lacquer. The doors have a central, decorative, carved spiral twist feature applied over the foxed mirror panels.","EUR-04-0164-1,EUR-04-0164-3,EUR-04-0164-5,EUR-04-0164-6","22""D","72""W","40""H"
EUR-04-0395,Falling Branch Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,3020,8305,"The four doors of this credenza feature églomisé panels with a reverse-hand-painted branch running across them to make a complete picture. The carcass, raised on a steel frame, is inset with églomisé side panels and a beveled églomisé top.","EUR-04-0395-1,EUR-04-0395-3,EUR-04-0395-4,EUR-04-0395-5,EUR-04-0395-6,EUR-04-0395-10,EUR-04-0395-11","19""D","88""W","40""H"
EUR-01-0280,Framura Three-Drawer Chest,John Richard,Furniture > Bedroom > Chests,1880,5170,"The auto-latch drawers of this chest, with their églomisé drawer fronts, are reverse-painted by hand with a branch-and-leaf pattern. The sides and top of the carcass have inset églomisé, while the framing is finished in brushed silver, as is the stool base on which the chest sits.",EUR-01-0280-1,"18.25""D","48""W","36.25""H"
EUR-01-0306,Chepstow Two-Drawer Nightstand,John Richard,Furniture > Bedroom > Nightstands,1150,3162,"Fitted with soft-closing drawer runners, the linen-faced drawer fronts have silvered pulls with a drip relief pattern. The grey oak case is raised on an oak stool. The linen can be cleaned with a white cloth and water.","EUR-01-0306-1,EUR-01-0306-10","22.75""D","35.5""W","30""H"
EUR-01-0283,Tyrol Two-Door Side Cabinet in Alabaster,John Richard,Furniture > Living > Cabinets,1075,2956,"Finished in alabaster, this two-door side cabinet has one adjustable shelf and a central mother-of-pearl inlay with gold detailing that is reflected in the handles. The top has an inset modern mirror.","EUR-01-0283-1,EUR-01-0283-3,EUR-01-0283-4,EUR-01-0283-5,EUR-01-0283-10,EUR-01-0283-11","20.5""D","34""W","30""H"
EUR-01-0251,Palma Two-Drawer Chest,John Richard,Furniture > Bedroom > Chests,1680,4620,"The drawer fronts are faced with tiza gesso set into a Windsor black case. The drawers, fitted with soft-closing, full-extension runners, have natural agate handles with gold-leaf trim.","EUR-01-0251-1,EUR-01-0251-2,EUR-01-0251-3,EUR-01-0251-4,EUR-01-0251-6,EUR-01-0251-10,EUR-01-0251-11,EUR-01-0251-12,EUR-01-0251-13","19.75""D","48""W","36.25""H"
EUR-01-0278,Isola Single-Drawer Side Table,John Richard,Furniture > Living > Tables > Occasional Tables,805,2214,"The tiza gesso drawer front on this side table has a single agate handle in the center, with gilded beading around the edge of both the handle and drawer. The case and legs are faced with American black walnut.","EUR-01-0278-1,EUR-01-0278-3,EUR-01-0278-4,EUR-01-0278-5,EUR-01-0278-10,EUR-01-0278-11,EUR-01-0278-12","25.5""D","24""W","25""H"
EUR-01-0286,Lombardy Three-Drawer Chest,John Richard,Furniture > Bedroom > Chests,1345,3699,"Each of the three graduated drawer fronts are veneered in ebony with a linear pattern of four squares, and they feature silvered crystal handles. The carcass is also veneered in ebony.","EUR-01-0286-1,EUR-01-0286-3,EUR-01-0286-4,EUR-01-0286-10,EUR-01-0286-11","20.5""D","31.5""W","29.5""H"
EUR-01-0285,Piedmont Three-Drawer Chest,John Richard,Furniture > Bedroom > Chests,1345,3699,"Finished in ice white, this chest features three graduated drawers with silvered crystal handles to the fronts. The carcass is raised on square tapered legs, and the top is clear modern mirror.","EUR-01-0285-1,EUR-01-0285-3,EUR-01-0285-4,EUR-01-0285-5,EUR-01-0285-7,EUR-01-0285-10,EUR-01-0285-11,EUR-01-0285-13","20.5""D","31.5""W","29""H"
EUR-01-0302,Carlyle Three-Drawer Chest,John Richard,Furniture > Bedroom > Chests,1780,4895,A metal base supports this three-drawer chest. The case is veneered in flat cut ash and finished in beluga. The reeded drawer fronts are finished in antique beluga. The base and hardware are finished in Etruscan gold.,"EUR-01-0302-1,EUR-01-0302-10","20""D","47.25""W","36""H"
EUR-02-0244,Avest Console Table,John Richard,Furniture > Living > Tables > Console Tables,1830,5033,"The figured, smoked eucalyptus cases are fixed to the acrylic slab supports which run through to the top. The center has one drawer.","EUR-02-0244-1,EUR-02-0244-3,EUR-02-0244-4,EUR-02-0244-5,EUR-02-0244-6,EUR-02-0244-10,EUR-02-0244-11","15.75""D","78""W","36""H"
EUR-02-0286,Parisienne Console Table,John Richard,Furniture > Living > Tables > Console Tables,1250,3438,"Veneered in hyedua and finished in dark grey with silver-leaf cerusing, this narrow console top is intersected by two clear acrylic legs.","EUR-02-0286-1,EUR-02-0286-10,EUR-02-0286-11","11""D","59""W","33.75""H"
EUR-02-0175,Borsani Console Table,John Richard,Furniture > Living > Tables > Console Tables,1880,5170,"Inspired by the designer Borsani, the base is a carved and reeded series of loops, which support the Crema Marfil marble top. The console table is not freestanding and must be secured to the wall.","EUR-02-0175-1,EUR-02-0175-3,EUR-02-0175-4,EUR-02-0175-5,EUR-02-0175-6","14""D","70""W","35""H"
EUR-02-0185,Curved Walnut Desk,John Richard,Furniture > Living > Desks,2345,6449,"Exquisitely matched English walnut curl veneer to the top and U-shaped supports are aged by a traditional French polish technique. The front rail conceals a pen drawer, while the supports have ebonized plinths.","EUR-02-0185-1,EUR-02-0185-5,EUR-02-0185-7,EUR-02-0185-10,EUR-02-0185-11,EUR-02-0185-12,EUR-02-0185-13","35.5""D","77""W","30""H"
EUR-02-0156,Le Cirque Console Table,John Richard,Furniture > Living > Tables > Console Tables,1815,4991,"This console table, with its spectacular mother-of-pearl ring, creates a dramatic silhouette. It is finished in macassar ebony.","EUR-02-0156-1,EUR-02-0156-3,EUR-02-0156-4,EUR-02-0156-10,EUR-02-0156-11","13.5""D","54""W","38.5""H"
EUR-02-0265,Midnight Console Table,John Richard,Furniture > Living > Tables > Console Tables,2680,7370,"The case and drawer front of this console are faced with linia laminate, which is enhanced by the brass-plated stainless steel base and handle. There are three individual drawers all connected by the single drawer front. The pot-board is also faced in linia black.","EUR-02-0265-1,EUR-02-0265-3,EUR-02-0265-4,EUR-02-0265-5,EUR-02-0265-6,EUR-02-0265-10,EUR-02-0265-11","18.25""D","67""W","34.5""H"
EUR-03-0647,Calabria Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1615,4441,"The Carrara marble top of this cocktail table is supported by a steel base finished in gold. The base features double legs strapped together with ties, which are repeated underneath the top.","EUR-03-0647-1,EUR-03-0647-3,EUR-03-0647-4,EUR-03-0647-10,EUR-03-0647-11","34""D","52""W","18.75""H"
EUR-03-0663,Larino Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1175,3231,"A modern, rectangular cocktail table features a steel base in an Etruscan gold finish. The carcass is veneered in a black wave finish, and the top is in reverse-painted black glass. The top edge and carcass sides are detailed in Etruscan gold.","EUR-03-0663-1,EUR-03-0663-6,EUR-03-0663-10","34.5""D","52.5""W","18.5""H"
EUR-03-0583,Rectangular Calcite Coffee Table,John Richard,Furniture > Living > Tables > Cocktail Tables,2895,7961,This rectangular coffee table features a natural calcite slab top with an antique brass stand.,"EUR-03-0583-1,EUR-03-0583-3,EUR-03-0583-6,EUR-03-0583-7,EUR-03-0583-8,EUR-03-0583-10,EUR-03-0583-11","30""D","48""W","18.5""H"
EUR-03-0424,Keswick Oval Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1565,4304,"The Parisian silver finish of this detailed cocktail table sets off the antiqued, hand-aged mirrors. The rim has over eighty small mirrors, below which there is a quartered-mirror undershelf.","EUR-03-0424-1,EUR-03-0424-3,EUR-03-0424-10","32""D","51""W","21""H"
EUR-03-0668,Loft Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1055,2901,A square cocktail table features a butterfly matched white oak top in a grey oak finish and an inset plinth base in silver leaf.,"EUR-03-0668-1,EUR-03-0668-3,EUR-03-0668-4,EUR-03-0668-5,EUR-03-0668-7,EUR-03-0668-8,EUR-03-0668-10,EUR-03-0668-11,EUR-03-0668-12,EUR-03-0668-13","47""D","47""W","16""H"
EUR-03-0657,Manhattan Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1695,4661,The Manhattan Cocktail Table features a rectangular top of butterfly matched European walnut curl finished in silver taupe atop an inset plinth base in silver leaf.,"EUR-03-0657-1,EUR-03-0657-10,EUR-03-0657-11","60""D","30""W","17""H"
EUR-03-0652,Carol Benson-Cobb's Slated Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1205,3314,"Slated, a stunning painting by esteemed abstract artist Carol Benson-Cobb, is featured on this cocktail table under glass and set into silver frames.",EUR-03-0652-1,"26""D","56""W","17.75""H"
EUR-03-0676,Austin A. James' Lustrous Sky Stacking Tables (Set of Two),John Richard,Furniture > Living > Tables > Occasional Tables,625,1719,Lustrous Sky by Austin A. James has been applied to the tops of this set of two stacking tables and covered in a hand-applied vitreous finish. The bases and legs are done in a hand-finished gold.,"EUR-03-0676-1,EUR-03-0676-10","10""D","20""W","25""H"
EUR-03-0575,Esk Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1020,2805,"The base and top edge are finished in Mayan bronze, while the sides are finished in Aztec gold. The top has an inset cirrus mirror.","EUR-03-0575-1,EUR-03-0575-2,EUR-03-0575-3,EUR-03-0575-6,EUR-03-0575-7,EUR-03-0575-10,EUR-03-0575-11","30""D","60""W","17""H"
EUR-03-0505,Chelsea Rectangular Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1385,3809,"This rectangular cocktail table in our beautiful walnut curl veneer, inspired by mid-century modern design, sits atop a staggered base in ebony.","EUR-03-0505-1,EUR-03-0505-3,EUR-03-0505-10","30""D","60""W","17.25""H"
EUR-08-0070,Pedestal,John Richard,Decoration > Artistic Ornaments > Pedestals,620,1705,A pedestal of random European walnut blocks.,EUR-08-0070-1,"11.75""D","11.75""W","42.5""H"
AMF-1420-WHTE-AS,Transverse Leather And Steel Bench,John Richard,Furniture > Living > Benches & Ottomans,1130,3108,This transverse bench is tailoreded in a chalk white leather with a steel structured base hand finished in Silver Leaf,AMF-1420-WHTE-AS-1,"19""D","57.5""W","19""H"
JRL-9207,Ocean Table Lamp,John Richard,Lighting > Table Lamps,360,990,Printed canvas is encased in clear acrylic.,"JRL-9207-1,JRL-9207-6,JRL-9207-7","10""D","18""W","31""H"
JRL-9636,Enigma Table Lamp,John Richard,Lighting > Table Lamps,380,1045,This table lamp features painted fabric embedded in clear composition.,JRL-9636-1,"10""D","18""W","30""H"
JRL-9635,Slated Table Lamp,John Richard,Lighting > Table Lamps,380,1045,This table lamp features painted fabric embedded in clear composition.,JRL-9635-1,"10""D","18""W","30""H"
JRL-9634,Dune Table Lamp,John Richard,Lighting > Table Lamps,380,1045,This table lamp features printed fabric embedded in clear composition.,JRL-9634-1,"10""D","18""W","30""H"
JRL-9563,Grey Marble and Polished Nickel Table Lamp,John Richard,Lighting > Table Lamps,590,1622,"Classic in silhouette and palette, this gorgeous grey marble table lamp is highlighted with polished nickel accents.",JRL-9563-1,"10""D","19""W","32.75""H"
JRL-9084,Alabaster Column Table Lamp,John Richard,Lighting > Table Lamps,590,1622,"This table lamp features an alabaster body, brass accents, and a brass base.","JRL-9084-1,JRL-9084-6,JRL-9084-7","9""D","18""W","34.5""H"
JRL-9198,Alabaster Horizontal Block Table Lamp,John Richard,Lighting > Table Lamps,745,2049,A carved block of alabaster features brass accents.,"JRL-9198-1,JRL-9198-3,JRL-9198-4,JRL-9198-6,JRL-9198-10","10""D","17""W","24""H"
JRL-9196,Alabaster Block Table Lamp,John Richard,Lighting > Table Lamps,745,2049,This lamp has a carved white alabaster block with brass accents.,"JRL-9196-1,JRL-9196-6,JRL-9196-7","10""D","17""W","31""H"
JRL-9327,Selenite Table Lamp I,John Richard,Lighting > Table Lamps,1615,4441,A massive ball of selenite creates an explosion of translucent spires. This beautiful piece is supported by a lead-free crystal base.,"JRL-9327-1,JRL-9327-6","20""D","19""W","32""H"
JRL-9326,Selenite Table Lamp II,John Richard,Lighting > Table Lamps,810,2228,Spires of selenite create interesting angles ending on a lead-free crystal base.,JRL-9326-1,"20""D","20""W","29.75""H"
JRL-9521,Celene Lamp,John Richard,Lighting > Table Lamps,945,2599,This table lamp features a clear selenite orb sitting upon a crystal cube.,"JRL-9521-1,JRL-9521-6","9""D","9""W","32.5""H"
JRL-9231,Rustic Spiral Table Lamp,John Richard,Lighting > Table Lamps,470,1292,This table lamp features composition formed in the shape of a rustic spiral.,JRL-9231-1,"18.5""D","20""W","29""H"
AMF-1400-B191-AS,Upholstered Cocktail Ottoman,John Richard,Furniture > Living > Benches & Ottomans,740,2035,Upholstered Cocktail Ottoman shown in a Gilded Ebony finish and B191 fabric.,AMF-1400-B191-AS-1,"36""D","48""W","20""H"
JFD-0098,Marble And Brass Cocktail Table,John Richard,Furniture > Living > Tables > Cocktail Tables,1310,3603,An elegant cocktail table has an oval marble top and an architectural antique brass base.,JFD-0098-1,"23""D","59.75""W","17.25""H"
JRA-10959,Celesite Hoop I,John Richard,Decoration > Artistic Ornaments > Sculptures,200,550,An eternal oval hoop cradles a beautiful piece of celestite.,"JRA-10959-1,JRA-10959-6","4.75""D","4.25""W","5.5""H"
JRA-10960,Celesite Hoop II,John Richard,Decoration > Artistic Ornaments > Sculptures,210,578,An eternal oval hoop cradles a beautiful piece of celestite.,"JRA-10960-1,JRA-10960-6","5""D","6.25""W","7.5""H"
JRA-10961,Celesite Hoop III,John Richard,Decoration > Artistic Ornaments > Sculptures,220,605,An eternal oval hoop cradles a beautiful piece of celestite.,"JRA-10961-1,JRA-10961-6","5.5""D","8.5""W","10""H"
JRL-9799,Windowpane Selenite Bloom Table Lamp,John Richard,Lighting > Table Lamps,850,2338,A sheer double shade stands tall over a windowpane selenite bloom on a crystal base.,JRL-9799-1,"9""D","9""W","33""H"
JRL-9419,Tiered Selenite Table Lamp,John Richard,Lighting > Table Lamps,805,2214,"Translucent beauty comes alive in this unique Tiered Selenite Table Lamp, making it ideal for any room.",JRL-9419-1,"20""D","20""W","31""H"
JRL-9421,Illuminated Calcite Table Lamp,John Richard,Lighting > Table Lamps,965,2654,"An illuminated, rectangular calcite table lamp is on an antique brass base.",JRL-9421-1,"17""D","17""W","35""H"
JRL-9332,Mother-of-Pearl Table Lamp,John Richard,Lighting > Table Lamps,395,1086,Mother-of-pearl is encased in crystal clear acrylic.,JRL-9332-1,"21""D","21""W","29.5""H"
JRL-8726,Rainwater on Glass Table Lamp,John Richard,Lighting > Table Lamps,370,1018,"This lamp features multicolored, crackled glass with nickel accents.",JRL-8726-1,"19""D","19""W","31.5""H"
JRL-9608,Luminous Ginger Jar Table Lamp,John Richard,Lighting > Table Lamps,355,976,"This ceramic gourd ginger jar table lamp is in a luminous, creamy white and has bands of gold.",JRL-9608-1,"18""D","18""W","35""H"
JRL-9571,Handblown Golden Table Lamp,John Richard,Lighting > Table Lamps,435,1196,This handblown glass table lamp features snow-covered and golden opulence.,"JRL-9571-1,JRL-9571-6,JRL-9571-7","15""D","15""W","40""H"
