sku,Name ,Brand,Categories,Price,Description ,Images ,Length ,Width,Height
GAL-OOC-24,Amalfi Coast Italy Oil on Canvas Painting ,Classic Imports,Art > Paintings,800,"Hand Painted Oil on Canvas - Amalfi Coast Italy 
Signed by - 
Gold Leaf Frame
33h x 45w","GAL-OOC-24-1, GAL-OOC-24-2, GAL-OOC-24-3, GAL-OOC-24-4, GAL-OOC-24-5",45,2,33
GAL-OOC-25,Still Life of Wine & Fruite Oil on Canvas Painting ,Classic Imports,Art > Paintings,700,"Hand Painted Oil on Canvas - Wine and Fruite 
Signed by - 
Gold Leaf Frame
38h x 49w","GAL-OOC-25-1, GAL-OOC-25-2, GAL-OOC-25-3, GAL-OOC-25-4, GAL-OOC-25-5",59,2,33
GAL-OOC-26,Palace Interior Grand Hall Oil on Canvas Painting ,Classic Imports,Art > Paintings,1400,"Hand Painted Oil on Canvas - Palace Interior Grand Hall
Signed by - 
Gold Leaf Frame
46h x 58w","GAL-OOC-26-1, GAL-OOC-26-2, GAL-OOC-26-3, GAL-OOC-26-4, GAL-OOC-26-5",58,2,46
GAL-OOC-27,Palace Interior Grand Salon Oil on Canvas Painting ,Classic Imports,Art > Paintings,1800,"Hand Painted Oil on Canvas - Palace Interior Grand Salon
Signed by - 
Gold Leaf Frame
46h x 58w","GAL-OOC-27-1, GAL-OOC-27-2, GAL-OOC-27-3, GAL-OOC-27-4, GAL-OOC-27-5",58,2,46
GAL-OOC-28,Modern Abstract Landscape Oil on Canvas Painting - C. Lewis,Classic Imports,Art > Paintings,1200,"Hand Painted Oil on Canvas - Modern Abstract Landscape 
Signed by: C. Lewis 
Gold Leaf Frame
49h x 39w","GAL-OOC-28-1, GAL-OOC-28-2, GAL-OOC-28-3, GAL-OOC-28-4, GAL-OOC-28-5, GAL-OOC-28-6",39,2,49
GAL-OOC-29,Impressionist Landscape Oil on Canvas Painting - C. Lewis,Classic Imports,Art > Paintings,850,"Hand Painted Oil on Canvas - Impressionist Landscape 
Signed by: C. Lewis 
Gold Leaf Frame
39h x 39w","GAL-OOC-29-1, GAL-OOC-29-2, GAL-OOC-29-3, GAL-OOC-29-4, GAL-OOC-29-5, GAL-OOC-29-6",39,2,39
GAL-OOC-30,Noble Man on Horse Oil on Board Painting ,Classic Imports,Art > Paintings,400,"Hand Painted Oil on Board - Noble Man on Horse 
Signed by: 
Gold Leaf Frame
19h x 17w","GAL-OOC-30-1, GAL-OOC-30-2, GAL-OOC-30-3",17,2,19
GAL-OOC-31,Portrait of Cellist Oil on Board Painting - Signed ,Classic Imports,Art > Paintings,475,"Hand Painted Oil on Board - Portrait of Cellist 
Signed by -
Gold Leaf Frame
17.5h x 15.5w","GAL-OOC-31-1, GAL-OOC-31-2",15.5,2,17.5
DSCN1455,"10.5"" Hand Cut Cobalt Blue Crystal Bowl ",Classic Imports ,"Accessories > Crystal, Accessories > Centerpieces, Showroom Inventory",500,"European Import Hand Cut Cobalt Blue Crystal Bowl 

Dimensions:
9H x 10.5D","DSCN1455-1, DSCN1455-2, DSCN1455-3",10.5,10.5,9
DSCN1458,Handmade Silver Plated Epergne,Classic Imports ,"Accessories > Centerpieces, Showroom Inventory",400,"European Silver Plated Epergne
Handmade

Dimensions:
23H x 12D","DSCN1458-1, DSCN1458-2, DSCN1458-3, DSCN1458-4",12,12,23
DSCN1467,Bronze Swan Candle Holders / Flower Vases ,Classic Imports ,"Accessories > Vases, Showroom Inventory",1400,"Bronze Swan Candle Holders / Flower Vases 

Handmade

Dimensions:
33H x 10D","DSCN1467-1, DSCN1467-2, DSCN1467-3, DSCN1467-4",10,10,33
DSCN1481,Hand Painted Porcelain Parrot Lamp ,Classic Imports ,"Lighting > Table Lamps, Showroom Inventory",900,"Hand painted porcelain lamp with bronze mounts and custom shade.

Handmade

Dimensions:
25.5h x 13.5w x 11.5d","DSCN1481-1, DSCN1481-2, DSCN1481-3, DSCN1481-4, DSCN1481-5, DSCN1481-6, DSCN1481-7",13.5,11.5,25.5
DSCN1492,"10"" Hand Painted Porcelain Vase with Bronze Mounts ",Classic Imports ,"Accessories > Vases, Showroom Inventory",325,"Hand painted porcelain vase with bronze mounts 

Handmade

Dimensions:
10h x 9w x 8d","DSCN1492-1, DSCN1492-2, DSCN1492-3, DSCN1492-4",9,8,10
GAL-1509,Signed 1992 Stephen Schlanser Vase,Classic Imports ,"Accessories > Vases, Showroom Inventory",950,"Limited edition 1992 Stephen Schlanser vase 

Original handmade deco style 

Dimensions:
19h x 13w 8d","GAL-1509-1, GAL-1509-2, GAL-1509-3, GAL-1509-4, GAL-1509-5, GAL-1509-6, GAL-1509-7, GAL-1509-8",13,8,19
GAL-1536,Silver & Crystal Centerpiece,Classic Imports ,"Accessories > Centerpieces, Showroom Inventory",600,"Silver plated & crystal centerpiece with swan base 

Handmade

Dimensions:
16h x 11.5d","GAL-1536-1, GAL-1536-2, GAL-1536-3, GAL-1536-4",11.5,11.5,16
GAL-1546,Antique Silver Plated Coffee Urn,Classic Imports ,"Accessories > Urns, Showroom Inventory, Antiques",600,"Antique silver plated coffee urn 

""HAUD UMQUAM CEDO"" Crest 

Dimensions:
16.5h x 9.5w
","GAL-1546-1, GAL-1546-2, GAL-1546-3, GAL-1546-4, GAL-1546-5, GAL-1546-6",9.5,9.5,16.5
GAL-1560,Asian Style Vase with Bronze Mounts ,Classic Imports ,"Accessories > Vases, Showroom Inventory",650,"Hand painted Asian style vase with bronze mounts 

Dimensions:
15h x 9w x 6d","GAL-1560-1, GAL-1560-2, GAL-1560-3, GAL-1560-4, GAL-1560-5",9,6,15
GAL-1476,Tall Deco Style Glass Vase ,Classic Imports ,Accessories > Vases ,650,"Tall Deco Style Glass Vase 

Handmade

Dimensions:
23H x 9D","GAL-1476-1, GAL-1476-2, GAL-1476-3",9,9,23
1500-GAL,Hand Painted Porcelain Bowl with Bronze Mounts ,Classic Imports ,"Accessories > Centerpieces, Showroom Inventory",1000,"European style hand painted porcelain bowl with bronze mounts. 

Handmade

Dimensions:
13h x 23w x 17d","1500-GAL-1, 1500-GAL-2, 1500-GAL-3, 1500-GAL-4, 1500-GAL-5",23,17,13
GAL-1567,Antique French Clock with Bronze Cherub  ,Classic Imports ,"Accessories > Clocks, Showroom Inventory, Antiques",900,"Antique French clock with bronze cherub & goat 

Material:
Bronze & Marble 

Dimensions:
9.75L x 5.75W x 16.25H","GAL-1567-1, GAL-1567-2, GAL-1567-3, GAL-1567-4, GAL-1567-5, GAL-1567-6, GAL-1567-7, GAL-1567-8, GAL-1567-9",9.75,5.75,16.25
GAL-1582,Black & Gold Porcelain Vase with Bronze Mounts,Classic Imports ,"Accessories > Vases, Showroom Inventory ",700,"Hand Painted antique style porcelain vase with gilded bronze mounts. 

Material:
Porcelain & Bronze 

Dimensions:
24h x 9d 
","GAL-1582-1, GAL-1582-2, GAL-1582-3, GAL-1582-4, GAL-1582-5, GAL-1582-6, GAL-1582-7",9,9,24
GAL-1593,Blue & White Porcelain Vase with Bronze Mounts,Classic Imports ,"Accessories > Vases, Showroom Inventory ",700,"Hand Painted antique style porcelain vase with bronze mounts. 

Material:
Porcelain & Bronze 

Dimensions:
24h x 9d 
","GAL-1593-1, GAL-1593-2, GAL-1593-3, GAL-1593-4, GAL-1593-5, GAL-1593-6, GAL-1593-7",9,9,24
GAL-1602,H. Moser Table Clock ,Classic Imports ,"Accessories > Clocks, Showroom Inventory ",1100,"Elegant French style bronze clock by H. Moser 

Made in England 

Material:
Bronze

Dimensions:
10L x 5W x 17H","GAL-1602-1, GAL-1602-2, GAL-1602-3, GAL-1602-4, GAL-1602-5, GAL-1602-6, GAL-1602-7, GAL-1602-8, GAL-1602-9",10,5,17
GAL-1618,Pair of Signed Capodimonte Compotes ,Classic Imports ,"Accessories > Centerpieces, Showroom Inventory",1800,"Handpainted Capodimonte Compotes 

Made in Italy 

Dimensions:
10L x 6W x 6H","GAL-1618-1, GAL-1618-2, GAL-1618-3, GAL-1618-4, GAL-1618-5, GAL-1618-6, GAL-1618-7, GAL-1618-8, GAL-1618-9, GAL-1652",10,6,6
GAL-1634,Signed Capodimonte Centerpiece with Women & Cherubs,Classic Imports ,"Accessories > Centerpieces, Showroom Inventory",1800,"Handpainted Capodimonte centerpiece with women on cart and cherubs 

Made in Italy 

Dimensions:
13L x 6.5W x 11H","GAL-1634-1, GAL-1634-2, GAL-1634-3, GAL-1634-4, GAL-1634-5, GAL-1634-6, GAL-1634-7, GAL-1634-8, GAL-1634-9, GAL-1652",13,6.5,11
GAL-1659,Signed Capodimonte Statue with Man & Woman Riding Horses,Classic Imports ,"Art > Sculptures > Porcelain, Showroom Inventory",1800,"Handpainted Capodimonte statue with man and woman riding horses 

Made in Italy 

Dimensions:
17L x 13W x 15H","GAL-1659-1, GAL-1659-2, GAL-1659-3, GAL-1659-4, GAL-1659-5, GAL-1659-6, GAL-1659-7, GAL-1659-8, GAL-1659-9",17,13,15
GAL-1674,Antique Dresden Porcelain Centerpiece Circa 1880 ,Classic Imports ,"Accessories > Centerpieces, Showroom Inventory, Antiques",900,"Antique Dresden Porcelain Centerpiece Circa 1880 

Handmade with gilded accents 

Made in Germany 

Dimensions:
18L x 10w x 12h","GAL-1674-1, GAL-1674-2, GAL-1674-3, GAL-1674-4, GAL-1674-5",18,10,12
GAL-1743,Antique Japanese Emperor and Empress Figurines ,Classic Imports ,"Showroom Inventory, Antiques ",1400,"Antique Japanese Emperor and Empress Figurines in Original Costumes and Box
Circa 1800s
Material: porcelain
Dimensions: 14h x 15 w x 9.5 d
Country of origin: Japan","GAL-1743-1, GAL-1743-2, GAL-1743-3, GAL-1743-4, GAL-1743-5, GAL-1743-6, GAL-1743-7, GAL-1743-8",15,9.5,14
GAL-1725,Antique Royal Dux Porcelain Figures,Classic Imports ,"Art > Sculptures > Porcelain, Showroom Inventory, Antiques",1400,"Pair Of Antique Royal Dux Porcelain Figures
Circa 1910
Country of origin: Czech Republic
Material: Porcelain
Dimensions: 10L x 10W x 24H","GAL-1725-1, GAL-1725-2, GAL-1725-3, GAL-1725-4, GAL-1725-5, GAL-1725-6, GAL-1725-7, GAL-1725-8, GAL-1725-9",10,10,24
GAL-3847,Antique Landscape Painting ,Classic Imports ,"Art > Paintings, Antiques, Showroom Inventory ",5000,"Oil on canvas antique painting 
Condition: Good
Circa 1880
Original gold leaf frame 
High quality with great detail 

Dimensions:
53""w x 40""h 
","GAL-3847-1, GAL-3847-2, GAL-3847-3, GAL-3847-4, GAL-3847-5, GAL-3847-6, GAL-3847-7",53,2,40
GAL-3854,Portrait of Two Girls by the Sea,Classic Imports ,"Art > Paintings, Showroom Inventory ",2800,"Oil on canvas painting
Condition: Good 
Circa 1980
Original gold leaf frame

Dimensions:
50""w x 60""h","GAL-3854-1, GAL-3854-2, GAL-3854-3, GAL-3854-4, GAL-3854-5, GAL-3854-6, GAL-3854-7",50,2,60
GAL-3866,Portrait of Woman by Fressinier,Classic Imports ,"Art > Paintings, Showroom Inventory ",6950,"Original oil on canvas painting signed by Fressinier 
Artist: François Fressinier
Condition: Excellent 
Original gold leaf frame

Dimensions:
56w x 44h 

Fressinier was born in Cognac, France to scholarly portrait photographers who instilled in him an affinity for aesthetics. His artworks combine collage, impasto, abstraction and figurative painting to create a unique textural style that unites both classic and contemporary elements. He studied fine art at the École Brassart in Tours where he was exposed to the sketches and paintings of Rembrandt, Renoir, Courbet, Rubens, and Delaunay. Drawing inspiration from these masters, Fressinier has incorporated their classic sensibilities into his unique contemporary expression of femininity, forging his creative ground in the process.","GAL-3866-1, GAL-3866-2, GAL-3866-3, GAL-3866-4, GAL-3866-5, GAL-3866-6, GAL-3866-7",56,2,44
GAL-3874,French Antique Demilune Console with Marble Top,Classic Imports ,"Tables > Console Tables, Showroom Inventory",3500,"Antique hand carved French console with marble top (Replaced)
Circa 1880
Condition: Good 

Dimensions:
70w x 24d x 34h","GAL-3874-1, GAL-3874-2, GAL-3874-3, GAL-3874-4, GAL-3874-5, GAL-3874-6, GAL-3874-7, GAL-3874-8, GAL-3874-9",70,24,34
GAL-3884,Mother and Daughter by the Ocean Painting Signed Pino Daeni,Classic Imports ,"Art > Paintings, Showroom Inventory ",1900,"Large Giclee on canvas portrait of mother and daughter by the ocean 
Artist: Pino Daeni 
Gold leaf frame 
Condition: Good 

Dimensions:
40w x 50h 

Pino Daeni (November 8, 1939 – May 25, 2010) was an Italian-American book illustrator and artist. He is known for his style of feminine, romantic women and strong men painted with loose but accurate brushwork. Considered one of the highest paid book illustrators of his time, he created over 3,000 book covers, movie posters and magazine illustrations.
","GAL-3884-1, GAL-3884-2, GAL-3884-3, GAL-3884-4, GAL-3884-5, GAL-3884-6, GAL-3884-7",40,3.5,50
GAL-3891,Woman in a Flower Garden Painting Signed Hans Amis,Classic Imports ,"Art > Paintings, Showroom Inventory ",2800,"Original oil on canvas painting of a woman in a flower garden 
Artist: Hans Amis
Gold leaf frame
Condition good

Dimensions:
34w x 43h

Hans Amis
Born: 1957 - Canton, China
Known for: Painting
Name variants: An He

An He aka Hans Amis (1957 - ): A Chinese born artist whose father was a well known artist himself. He studied at the Fine Art College of Guangzhou, one of the top schools in China. At 24, he became the youngest member ever to be chosen as a member of the All China Art Association. Since then, his artwork have become in high demand for book covers and publications, were purchased by the Chinese Government for the National Museum of Fine Art in Beijing. Today his figurative paintings are enjoyed by critics and collectors alike as they are displayed in many prominent collections across the globe.","GAL-3891-1, GAL-3891-2, GAL-3891-3, GAL-3891-4, GAL-3891-5, GAL-3891-6, GAL-3891-7",34,1.5,43
GAL-3932,Original Howard Behrens Painting of a Girl by the Sea,Classic Imports ,"Art > Paintings, Showroom Inventory ",4000,"An original painting by Howard Behren
Circa 1980s
Condition: Good
Gold leaf frame 

Dimensions:
52w x 44h

Behrens was born in Chicago, Illinois in 1933. He grew up near Washington, DC.[2] He began drawing at age seventeen after being confined to bed following a sledding accident.[citation needed] His formal education in art was at the University of Maryland, College Park, where he earned a master's degree in painting and sculpture. Behrens was hired by the United States Government Printing Office, where his father was employed as a printer, and worked there for the next seventeen years.[3] Behrens resided in Potomac, Maryland and died on April 14, 2014 after a long battle with Parkinson's disease.","GAL-3932-1, GAL-3932-2, GAL-3932-3, GAL-3932-4, GAL-3932-5, GAL-3932-6",52,1.5,44
GAL-3947,Pichwai Painting oil on Canvas ,Classic Imports ,"Art > Paintings, Showroom Inventory ",900,"Pichwai paintings also known as ""Pichwai"" is a traditional Indian art having its origins in Rajasthan, India. Pichwai art features intricate paintings portraying Lord Krishna (Sreenath ji) which is done on fabric using dark rich hues. The paintings have deep religious roots and are executed with the utmost devotion by the artists.

Hand painted oil on canvas 
Circa 1980s
Condition: Good
Gold leaf frame 

Dimensions:
44w x 67h","GAL-3947-1, GAL-3947-2, GAL-3947-3, GAL-3947-4, GAL-3947-5, GAL-3947-6",44,1.5,67
GAL-3979,"Erté Signed Bronze Sculpture ""Twilight"" 150/375 1986",Classic Imports ,"Showroom Inventory, Art > Sculptures > Bronze",5500,"Original Erté Signed Bronze Sculpture 150/375 circa 1986
Romain de Tirtoff Art 

Condition: Excellent 

Dimensions:
11w x 6d x 21h","GAL-3979-1, GAL-3979-2, GAL-3979-3, GAL-3979-4, GAL-3979-5, GAL-3979-6, GAL-3979-7, GAL-3979-8, GAL-3979-9, GAL-3979-9-2, GAL-3979-9-3, GAL-3979-9-4",11,6,21
GAL-3992,"Erté Signed Bronze Sculpture ""Negligee"" 48/50 1984",Classic Imports ,"Showroom Inventory, Art > Sculptures > Bronze",6000,"Original Erté Signed Bronze Sculpture ""Negligee"" 48/50 1984
Romain de Tirtoff Art 

Condition: Excellent 

Dimensions:
11w x 5d x 18h","GAL-3992-1, GAL-3992-2, GAL-3992-3, GAL-3992-4, GAL-3992-5, GAL-3992-6, GAL-3992-7, GAL-3992-8, GAL-3992-9",11,5,18
GAL-4025,"Erté Signed Bronze Sculpture ""Aphrodite"" 160/375 1986",Classic Imports ,"Showroom Inventory, Art > Sculptures > Bronze",3500,"Erté Signed Bronze Sculpture ""Aphrodite"" 160/375 1986
Romain de Tirtoff Art 

Condition: Excellent 

Dimensions:
11w x 6d 19h","GAL-4025-1, GAL-4025-2, GAL-4025-3, GAL-4025-4, GAL-4025-5, GAL-4025-6, GAL-4025-7, GAL-4025-8",11,6,19
GAL-4034,"Erté Signed Bronze Sculpture ""Liberty, Fearless & Free""  29/500 1984",Classic Imports ,"Showroom Inventory, Art > Sculptures > Bronze",6000,"Erté Signed Bronze Sculpture ""Liberty, Fearless & Free""  29/500 circa 1984
Romain de Tirtoff Art 

Condition: Excellent 

Dimensions:
11.5''L x 5'W' x 28''H","GAL-4034-1, GAL-4034-2, GAL-4034-3, GAL-4034-4, GAL-4034-5, GAL-4034-6, GAL-4034-7, GAL-4034-8",11.5,5,28
GAL-4053,Antique Hand Carved Elephant with Bronze & Bone Accents  ,Classic Imports ,"Showroom Inventory, Art > Sculptures > Bronze, Antiques",950,"Antique Hand Carved Elephant with Bronze & Bone Accents  

Condition: Good 

Dimensions:
3w x 6d x 6h","GAL-4053-1, GAL-4053-2, GAL-4053-3, GAL-4053-4",3,6,6
GAL-4108,Manuel Vidal Bronze Sculpture with Amethyst & Rock Crystal Base ,Classic Imports ,"Showroom Inventory, Art > Sculptures > Bronze",4900,"Manuel Vidal Bronze Sculpture with Amethyst & Rock Crystal Base 

Artist: Manuel Vidal 

Country of Origin: Spain 

Materials: Amethyst, rock crystal, bronze 

Dimensions:
16w x 10d x 22h 

*Certificate of Authenticity Included*","GAL-4108-1, GAL-4108-2, GAL-4108-3, GAL-4108-4, GAL-4108-5",16,10,22
