sku,Name,Brand,Categories,WS Price,IMAP Rate ,IMAP Price,Description,Images,Length,Width,Height
EUR-04-0453,John Richard Mercia Credenza,John Richard,Credenzas & Sideboards,2305,2.00,4610,"34.5""H X 87""W X 21""D The four drawers and two doors of this credenza are faced in tiza gesso with gold accents, and they are all fitted with agate handles. The case is in American black walnut. Disclaimer: The Mercia credenza features pulls of pure agate. The nature of this stone is very distinctive, and no two will be the same. Pattern and color of the grain will differ on each piece.

Dimensions: 34.5""H X 87""W X 21""D
Product Weight: 319
Package Weight: 399","EUR-04-0453-1, EUR-04-0453-2, EUR-04-0453-3, EUR-04-0453-4, EUR-04-0453-5",87,21,34.5
EUR-04-0412,John Richard Hallwood Cabinet,John Richard,Cabinets ,2190,2.00,4380,"79""H X 40""W X 22""D The tiza gesso doors are set in a golden oak case. The handles are cast to look like branches, and they are finished to complement the case. The interior is fitted with four adjustable shelves.

Dimensions: 79""H X 40""W X 22""D
Product Weight: 273
Package Weight: 348.5","EUR-04-0412-1, EUR-04-0412-2, EUR-04-0412-3, EUR-04-0412-4, EUR-04-0412-5, EUR-04-0412-6
",40,22,79
EUR-04-0443,John Richard Gosforth Credenza,John Richard,Credenzas & Sideboards,1680,2.00,3360,"32""H X 78""W X 19.5""D The tiza gesso doors have inset circular stainless steel handles. The case is finished in brown oak, while the interior in natural oak has one adjustable shelf to each cupboard. The turned and tapered legs are silver gilded.

Dimensions: 32""H X 78""W X 19.5""D
Product Weight: 209
Package Weight: 274","EUR-04-0443-1, EUR-04-0443-2, EUR-04-0443-3, EUR-04-0443-4",78,19.5,32
EUR-04-0361,John Richard Dante Four-Door Credenza,John Richard,Credenzas & Sideboards,1970,2.00,3940,"34""H X 78""W X 19""D The case in beluga white is raised on a brushed stainless steel stand. The doors are faced with tiza gesso with recessed, spun stainless steel handles. Each double cupboard has one adjustable shelf.

Dimensions: 34""H X 78""W X 19""D
Product Weight: 204
Package Weight: 287","EUR-04-0361-1, EUR-04-0361-2, EUR-04-0361-3, EUR-04-0361-4, EUR-04-0361-5",78,19,34
EUR-04-0526,John Richard Harmony Sideboard,John Richard,Credenzas & Sideboards,2215,2.00,4430,"34""H X 84""W X 20""D A four-door, three-drawer sideboard in oak in a grey driftwood finish is mounted on a steel base in silver white. The doors and drawers are inlaid with a stringlike texture, and the entire front is finished in a continuous pattern of striated lines of varying grey tones. Push-latches are fitted to both the drawers and doors, with a single adjustable shelf behind each pair of doors.

Dimensions: 34""H X 84""W X 20""D
Product Weight: 250
Package Weight: 331.5","EUR-04-0526-1, EUR-04-0526-2, EUR-04-0526-3, EUR-04-0526-4, EUR-04-0526-5",84,20,34
EUR-04-0305,John Richard Bear Run Cabinet,John Richard,Cabinets ,1800,2.00,3600,"35""H X 72.25""W X 19.25""D This modernist-style, Frank Lloyd Wright-inspired cabinet, with its lineal attributes of exotic entedua veneer, amara ebony veneer, along with its gold detail, will surely be a conversation piece.

Dimensions: 35""H X 72.25""W X 19.25""D
Product Weight: 236
Package Weight: 297","EUR-04-0305-1, EUR-04-0305-2, EUR-04-0305-3, EUR-04-0305-4",72.25,19.25,35
EUR-04-0302,John Richard Willits Six-Door Cabinet,John Richard,Cabinets ,2180,2.00,4360,"37.5""H X 88""W X 19.25""D This modernist, floating, six-door, Frank Lloyd Wright-inspired Willits cabinet, made of exotic entedua veneer, is the ultimate statement piece.

Dimensions: 37.5""H X 88""W X 19.25""D
Product Weight: 285.5
Package Weight: 362.5","EUR-04-0302-1, EUR-04-0302-2, EUR-04-0302-3, EUR-04-0302-4",88,19.25,37.5
EUR-04-0400,"John Richard Woodcroft Three-Door Sideboard
",John Richard,Credenzas & Sideboards,1725,2.00,3450,"39""H X 72""W X 20""D The natural beauty of the matched European walnut burrs are fully shown by this three-door sideboard with tapered Aztec gold legs. There is one adjustable shelf to each cupboard.

Dimensions: 39""H X 72""W X 20""D
Product Weight: 282
Package Weight: 350","EUR-04-0400-1, EUR-04-0400-2, EUR-04-0400-3",39,72,20
EUR-04-0358,"John Richard Pearl Credenza
",John Richard,Credenzas & Sideboards,1750,2.00,3500,"37.5""H X 72.25""W X 21.25""D Finished in alabaster, this three-door credenza has old gold metal legs and an inset gold églomisé top with gold-line detailing and a beveled edge. The backplates of the handles are inlaid mother-of-pearl.

Dimensions: 37.5""H X 72.25""W X 21.25""D
Product Weight: 217
Package Weight: 298","EUR-04-0358-1, EUR-04-0358-2, EUR-04-0358-3, EUR-04-0358-4",72.25,21.25,37.5
EUR-04-0495,John Richard Dune Credenza,John Richard,Credenzas & Sideboards,2140,2.00,4280,"36""H X 84""W X 20""D An ash-veneered case in dark taupe frames Carol Benson-Cobb's Dune image across the six drawers and two doors of this credenza. Each door and drawer feature push-latch mechanisms. The two metal legs are in a matching dark taupe finish.

Dimensions: 36""H X 84""W X 20""D
Product Weight: 348
Package Weight: 421","EUR-04-0495-1, EUR-04-0495-2, EUR-04-0495-3, EUR-04-0495-4, EUR-04-0495-5",84,20,36
EUR-04-0312,John Richard Ghost White Credenza,John Richard,Credenzas & Sideboards,1785,2.00,3570,"37""H X 61""W X 19""D A hand-carved, low-relief, stylized contemporary petal credenza, with side cabinets that surround four center drawers, sits atop a decorative, bronze-finished metal stand.

Dimensions: 37""H X 61""W X 19""D
Product Weight: 208
Package Weight: 264","EUR-04-0312-1, EUR-04-0312-2, EUR-04-0312-3, EUR-04-0312-4, EUR-04-0312-5",61,19,37
EUR-04-0279,John Richard Elizabeth Cabinet,John Richard,Cabinets ,1190,2.00,2380,"37.75""H X 50""W X 21.5""D This two-door cabinet in our alabaster white paint, with its raised square geometric motif layers on the front and dynamic hardware, will be a focal point in any space.

Dimensions: 37.75""H X 50""W X 21.5""D
Product Weight: 170
Package Weight: 225","EUR-04-0279-1, EUR-04-0279-2, EUR-04-0279-3",50,21.5,37.75
EUR-04-0459,John Richard Triesse Four-Door Credenza,John Richard,Credenzas & Sideboards,1950,2.00,3900,"36.5""H X 72""W X 20""D Standing on turned acrylic legs and finished in ice white, this four-door credenza has bold silvered escargot handles on each pair of doors. Each cupboard has one adjustable shelf.

Dimensions: 36.5""H X 72""W X 20""D
Product Weight: 181
Package Weight: 257","EUR-04-0459-1, EUR-04-0459-2, EUR-04-0459-3, EUR-04-0459-4, EUR-04-0459-5",72,20,36.5
EUR-04-0482,John Richard Martino Sideboard,John Richard,Credenzas & Sideboards,2115,2.00,4230,"36""H X 78""W X 17.5""D A four-door sideboard inlaid in linen and finished in white lacquer sits atop polished stainless steel legs. Three compartments behind the four doors are each fitted with a single adjustable shelf. Acrylic and polished stainless steel hardware decorate each door.

Dimensions: 36""H X 78""W X 17.5""D
Product Weight: 202
Package Weight: 234","EUR-04-0482-1, EUR-04-0482-2, EUR-04-0482-3, EUR-04-0482-4, EUR-04-0482-5, EUR-04-0482-6",78,17.5,36
EUR-04-0452,John Richard Chelsea Sideboard,John Richard,Credenzas & Sideboards,2920,2.00,5840,"30.25""H X 77""W X 19""D This sideboard with a faceted front has three drawers in the center with auto-latch runners. Either side of the drawers are cupboards, each with soft-closing hinges and one adjustable shelf. The cabinet is finished in satin black and sits on polished brass stainless steel legs arranged in a V pattern.

Dimensions: 30.25""H X 77""W X 19""D
Product Weight: 239
Package Weight: 304","EUR-04-0452-1, EUR-04-0452-2",77,19,30.25
EUR-04-0478,John Richard Black Satin Cabinet,John Richard,Display Cabinets ,4065,2.00,8130,"84""H X 54""W X 19.5""D A brass-finished stainless steel base supports the stepped, breakfront cabinet with six drawers below the two open display cabinets either side of the center cupboard. The doors and drawer fronts are reeded and finished in satin black, with hardware to match the base. The display units have gold-leaf mirrors to the back, with touch-sensitive lights operated by an inset brass button on the right-hand display cabinet.

Dimensions: 84""H X 54""W X 19.5""D
Product Weight: 433
Package Weight: 535","EUR-04-0478-1, EUR-04-0478-2, EUR-04-0478-3, EUR-04-0478-4, EUR-04-0478-5",54,19.5,84
EUR-04-0448,John Richard Moonlight Credenza,John Richard,Credenzas & Sideboards,2745,2.00,5490,"30""H X 77.5""W X 21""D The doors and drawers of this credenza are faced with kazan black, a holistic laminate, and feature brass-plated stainless steel handles. The case is finished in high-gloss black and stands on a brass-finished stainless steel base.

Dimensions: 30""H X 77.5""W X 21""D
Product Weight: 217
Package Weight: 324","EUR-04-0448-1, EUR-04-0448-2, EUR-04-0448-3",77.5,21,30
EUR-04-0401,John Richard I Dream of Agate Four-Door Cabinet,John Richard,Cabinets ,1825,2.00,3650,"34""H X 72""W X 18""D The agate design running across the front of the doors is reverse-hand-painted, above which is a black glass top inset in an Aztec gold frame. The base is also finished in Aztec gold.

Dimensions: 34""H X 72""W X 18""D
Product Weight: 168
Package Weight: 236","EUR-04-0401-1, EUR-04-0401-2, EUR-04-0401-3",72,18,34
EUR-04-0388,John Richard Ripples Sideboard,John Richard,Credenzas & Sideboards,1570,2.00,3140,"31.5""H X 69""W X 18""D Rustic gold fronts to the doors and drawers resemble reflected ripples in water. The doors and drawers are opened by auto-latch. The Mayan bronze case complements the rustic gold of the front.

Dimensions: 31.5""H X 69""W X 18""D
Product Weight: 192.5
Package Weight: 253.5","EUR-04-0388-1, EUR-04-0388-2, EUR-04-0388-3, EUR-04-0388-4, EUR-04-0388-5, EUR-04-0388-6",69,18,31.5
EUR-04-0384,John Richard Jardin Two-Door Cabinet,John Richard,Cabinets ,1130,2.00,2260,"32""H X 40""W X 19.5""D Veneered in macassar ebony, this accent cabinet has a reverse-hand-painted design to replicate aged and etched brass. The handle is finished to complement the doors, as is the steel base on which the cabinet stands.

Dimensions: 32""H X 40""W X 19.5""D
Product Weight: 136
Package Weight: 179","EUR-04-0384-1, EUR-04-0384-2, EUR-04-0384-3, EUR-04-0384-4, EUR-04-0384-5, EUR-04-0384-6",40,19.5,32
EUR-04-0489,John Richard Sutton Place Sideboard,John Richard,Credenzas & Sideboards,1925,2.00,3850,"34.5""H X 84""W X 20""D A clean, modern sideboard with a case in beluga and reverse-painted glass door fronts in a continuous golden dunes design. The doors are mounted with push-latches. The steel base, the top's front edge, and the door edges are in Etruscan gold. Behind each door is a single adjustable shelf.

Dimensions: 34.5""H X 84""W X 20""D
Product Weight: 251.46
Package Weight: 329","EUR-04-0489-1, EUR-04-0489-2, EUR-04-0489-3, EUR-04-0489-4",84,20,34.5
EUR-04-0147,John Richard Rio Two-Door Cabinet,John Richard,Cabinets ,1565,2.00,3130,"32.5""H X 47.5""W X 21""D Below the black glass top, the doors and steel base frame are finished in old gold, while the ends are black lacquer. The doors have a central, decorative, carved spiral twist feature applied over foxed mirror panes. The spiral twist is echoed in the steel base and handles. The left side of the cabinet has an X-frame, and the right side has a shelf.

Dimensions: 32.5""H X 47.5""W X 21""D
Product Weight: 209
Package Weight: 252.5","EUR-04-0147-1, EUR-04-0147-2, EUR-04-0147-3, EUR-04-0147-4",47.5,21,32.5
EUR-04-0164,John Richard Rio Four-Door Dresser,John Richard,Cabinets ,2495,2.00,4990,"40""H X 72""W X 22""D Below the black glass top, the doors and steel base frame are finished in old gold, while the ends are black lacquer. The doors have a central, decorative, carved spiral twist feature applied over the foxed mirror panels.

Dimensions: 40""H X 72""W X 22""D
Product Weight: 304
Package Weight: 389.5","EUR-04-0164-1, EUR-04-0164-2, EUR-04-0164-3",72,22,40
EUR-04-0395,John Richard Falling Branch Credenza,John Richard,Credenzas & Sideboards,2745,2.00,5490,"40""H X 88""W X 19""D The four doors of this credenza feature églomisé panels with a reverse-hand-painted branch running across them to make a complete picture. The carcass, raised on a steel frame, is inset with églomisé side panels and a beveled églomisé top.

Dimensions: 40""H X 88""W X 19""D
Product Weight: 295
Package Weight: 401","EUR-04-0395-1, EUR-04-0395-2, EUR-04-0395-3, EUR-04-0395-4, EUR-04-0395-5",88,19,40
EUR-01-0280,John Richard Framura Three-Drawer Chest,John Richard,Chests,1705,2.00,3410,"36.25""H X 48""W X 18.25""D The auto-latch drawers of this chest, with their églomisé drawer fronts, are reverse-painted by hand with a branch-and-leaf pattern. The sides and top of the carcass have inset églomisé, while the framing is finished in brushed silver, as is the stool base on which the chest sits.

Dimensions: 36.25""H X 48""W X 18.25""D
Product Weight: 206
Package Weight: 255.5",EUR-01-0280-1,48,18.25,36.25
EUR-01-0306,John Richard Chepstow Two-Drawer Nightstand,John Richard,Nightstands,1045,2.00,2090,"30""H X 35.5""W X 22.75""D Fitted with soft-closing drawer runners, the linen-faced drawer fronts have silvered pulls with a drip relief pattern. The grey oak case is raised on an oak stool. The linen can be cleaned with a white cloth and water.

Dimensions: 30""H X 35.5""W X 22.75""D
Product Weight: 158
Package Weight: 204",EUR-01-0306-1,35.5,22.75,30
EUR-01-0283,John Richard Tyrol Two-Door Side Cabinet in Alabaster,John Richard,Cabinets ,975,2.00,1950,"30""H X 34""W X 20.5""D Finished in alabaster, this two-door side cabinet has one adjustable shelf and a central mother-of-pearl inlay with gold detailing that is reflected in the handles. The top has an inset modern mirror.

Dimensions: 30""H X 34""W X 20.5""D
Product Weight: 90.5
Package Weight: 137","EUR-01-0283-1, EUR-01-0283-2, EUR-01-0283-3, EUR-01-0283-4",34,20.5,30
EUR-01-0251,John Richard Palma Two-Drawer Chest,John Richard,Chests,1525,2.00,3050,"36.25""H X 48""W X 19.75""D The drawer fronts are faced with tiza gesso set into a Windsor black case. The drawers, fitted with soft-closing, full-extension runners, have natural agate handles with gold-leaf trim.

Dimensions: 36.25""H X 48""W X 19.75""D
Product Weight: 152
Package Weight: 201","EUR-01-0251-1, EUR-01-0251-2, EUR-01-0251-3, EUR-01-0251-4, EUR-01-0251-5",48,19.75,36.25
EUR-01-0278,John Richard Isola Single-Drawer Side Table,John Richard,Tables > Occasional Tables,730,2.00,1460,"25""H X 24""W X 25.5""D The tiza gesso drawer front on this side table has a single agate handle in the center, with gilded beading around the edge of both the handle and drawer. The case and legs are faced with American black walnut. The drawer has a soft-closing action.

Dimensions: 25""H X 24""W X 25.5""D
Product Weight: 59
Package Weight: 94","EUR-01-0278-1, EUR-01-0278-2, EUR-01-0278-3, EUR-01-0278-4",24,25.5,25
EUR-01-0286,John Richard Lombardy Three-Drawer Chest,John Richard,Chests,1220,2.00,2440,"29.5""H X 31.5""W X 20.5""D Each of the three graduated drawer fronts are veneered in ebony with a linear pattern of four squares, and they feature silvered crystal handles. The carcass is also veneered in ebony.

Dimensions: 29.5""H X 31.5""W X 20.5""D
Product Weight: 115
Package Weight: 154","EUR-01-0286-1, EUR-01-0286-2, EUR-01-0286-3",31.5,20.5,29.5
EUR-01-0285,John Richard Piedmont Three-Drawer Chest,John Richard,Chests,1220,2.00,2440,"29""H X 31.5""W X 20.5""D Finished in ice white, this chest features three graduated drawers with silvered crystal handles to the fronts. The carcass is raised on square tapered legs, and the top is clear modern mirror.

Dimensions: 29""H X 31.5""W X 20.5""D
Product Weight: 111.32
Package Weight: 154","EUR-01-0285-1, EUR-01-0285-2, EUR-01-0285-3, EUR-01-0285-4, EUR-01-0285-5",31.5,20.5,29
EUR-01-0302,John Richard Carlyle Three-Drawer Chest,John Richard,Chests,1615,2.00,3230,"36""H X 47.25""W X 20""D A metal base supports this three-drawer chest. The case is veneered in flat cut ash and finished in beluga. The reeded drawer fronts are finished in antique beluga, and they are mounted on soft-closing runners. The base and hardware are finished in Etruscan gold.

Dimensions: 36""H X 47.25""W X 20""D
Product Weight: 209
Package Weight: 262",EUR-01-0302-1,47.25,20,36
EUR-02-0244,John Richard Avest Console Table,John Richard,Tables > Console Tables,1660,2.00,3320,"36""H X 78""W X 15.75""D The figured, smoked eucalyptus cases are fixed to the acrylic slab supports which run through to the top. The center has one drawer with concealed runners.

Dimensions: 36""H X 78""W X 15.75""D
Product Weight: 146.5
Package Weight: 204","EUR-02-0244-1, EUR-02-0244-2, EUR-02-0244-3, EUR-02-0244-4",78,15.75,36
EUR-02-0286,John Richard Parisienne Console Table,John Richard,Tables > Console Tables,1135,2.00,2270,"33.75""H X 59""W X 11""D Veneered in hyedua and finished in dark gray with silver-leaf cerusing, this narrow console top is intersected by two clear acrylic legs.

Dimensions: 33.75""H X 59""W X 11""D
Product Weight: 75.5
Package Weight: 118",EUR-02-0286-1,59,11,33.75
EUR-02-0175,John Richard Borsani Console Table,John Richard,Tables > Console Tables,1705,2.00,3410,"35""H X 70""W X 14""D Inspired by the designer Borsani, the base is a carved and reeded series of loops, which support the Crema Marfil marble top. The console table is not freestanding and must be secured to the wall.

Dimensions: 35""H X 70""W X 14""D
Product Weight: 134
Package Weight: 203","EUR-02-0175-1, EUR-02-0175-2, EUR-02-0175-3, EUR-02-0175-4, EUR-02-0175-5",70,14,35
EUR-02-0185,John Richard Curved Walnut Desk,John Richard,Desks,2130,2.00,4260,"30""H X 77""W X 35.5""D Exquisitely matched English walnut curl veneeer to the top and U-shaped supports are aged by a traditional French polish technique. The front rail conceals a pen drawer, while the supports have ebonized plinths.

Dimensions: 30""H X 77""W X 35.5""D
Product Weight: 265
Package Weight: 304","EUR-02-0185-1, EUR-02-0185-2, EUR-02-0185-3",77,35.5,30
EUR-02-0156,John Richard Le Cirque Console Table,John Richard,Tables > Console Tables,1650,2.00,3300,"38.5""H X 54""W X 13.5""D This console table, with its spectacular mother-of-pearl ring, creates a dramatic silhouette. It is finished in macassar ebony.

Dimensions: 38.5""H X 54""W X 13.5""D
Product Weight: 89.5
Package Weight: 132","EUR-02-0156-1, EUR-02-0156-2, EUR-02-0156-3",54,13.5,38.5
EUR-02-0265,John Richard Midnight Console Table,John Richard,Tables > Console Tables,2435,2.00,4870,"34.5""H X 67""W X 18.25""D The case and drawer front of this console are faced with linia laminate, which is enhanced by the brass-plated stainless steel base and handle. There are three individual drawers all connected by the single drawer front. The pot-board is also faced in linia black.

Dimensions: 34.5""H X 67""W X 18.25""D
Product Weight: 161
Package Weight: 229","EUR-02-0265-1, EUR-02-0265-2, EUR-02-0265-3",67,18.25,34.5
EUR-03-0647,John Richard Calabria Cocktail Table,John Richard,Tables > Cocktail Tables,1465,2.00,2930,"18.75""H X 52""W X 34""D The Carrara marble top of this cocktail table is supported by a steel base finished in gold. The base features double legs strapped together with ties, which are repeated underneath the top.

Dimensions: 18.75""H X 52""W X 34""D
Product Weight: 194
Package Weight: 258","EUR-03-0647-1, EUR-03-0647-2, EUR-03-0647-3",52,34,18.75
EUR-03-0663,John Richard Larino Cocktail Table,John Richard,Tables > Cocktail Tables,1065,2.00,2130,"18.5""H X 52.5""W X 34.5""D A modern rectangular cocktail table on an Etruscan gold-finished steel base. The carcass is veneered in a black wave finish with the top in reverse-painted black glass. The top edge and carcass sides are detailed in Etruscan gold.

Dimensions: 18.5""H X 52.5""W X 34.5""D
Product Weight: 147.4
Package Weight: 211",EUR-03-0663-1,52.5,34.5,18.5
EUR-03-0583,John Richard Rectangular Calcite Coffee Table,John Richard,Tables > Cocktail Tables,2630,2.00,5260,"18.5""H X 48""W X 30""D A rectangular natural calcite slab coffee table with an antique brass stand.

Dimensions: 18.5""H X 48""W X 30""D","EUR-03-0583-1, EUR-03-0583-2, EUR-03-0583-3",48,30,18.5
EUR-03-0424,John Richard Keswick Oval Cocktail Table,John Richard,Tables > Cocktail Tables,1420,2.00,2840,"21""H X 51""W X 32""D The Parisian silver finish of this detailed cocktail table sets off the antiqued, hand-aged mirrors. The rim has over eighty small mirrors, below which there is a quartered-mirror undershelf.

Dimensions: 21""H X 51""W X 32""D
Product Weight: 92.5
Package Weight: 155.5","EUR-03-0424-1, EUR-03-0424-2",51,32,21
EUR-03-0668,John Richard Loft Cocktail Table,John Richard,Tables > Cocktail Tables,955,2.00,1910,"16""H X 47""W X 47""D A square cocktail table with a butterfly matched white oak top finished in gray oak with a silver-leaf inset plinth base.

Dimensions: 16""H X 47""W X 47""D
Product Weight: 144
Package Weight: 207","EUR-03-0668-1, EUR-03-0668-2, EUR-03-0668-3",47,47,16
EUR-03-0657,John Richard Manhattan Cocktail Table,John Richard,Tables > Cocktail Tables,1540,2.00,3080,"17""H X 30""W X 60""D A rectangular cocktail table with a butterfly matched European walnut curl top finished in silver taupe with a silver-leaf inset plinth base.

Dimensions: 17""H X 30""W X 60""D
Product Weight: 134.42
Package Weight: 192.5",EUR-03-0657-1,30,60,17
EUR-03-0652,John Richard Slated Cocktail Table,John Richard,Tables > Cocktail Tables,1095,2.00,2190,"17.75""H X 56""W X 26""D Slated, a stunning painting by esteemed abstract artist Carol Benson-Cobb, is featured on this cocktail table under glass and set into silver frames.

Dimensions: 17.75""H X 56""W X 26""D
Product Weight: 176
Package Weight: 240",EUR-03-0652-1,56,26,17.75
EUR-03-0673,John Richard Austin A. James' Lustrous Sky Cocktail Table,John Richard,Tables > Cocktail Tables,745,2.00,1490,"19""H X 56.5""W X 32""D Lustrous Sky by Austin Allen James has been applied to the top of this cocktail table and covered in a hand-applied vitreous finish. The base and legs are done in a hand-finished gold.

Dimensions: 19""H X 56.5""W X 32""D
Product Weight: 55
Package Weight: 65",EUR-03-0673-1,56.5,32,19
EUR-03-0676,John Richard Austin A. James' Lustrous Sky Stacking Tables,John Richard,Tables > Occasional Tables,565,2.00,1130,"Small: 23""H X 15""W X 9""D, Large: 25""H X 20""W X 10""D Lustrous Sky by Austin Allen James has been applied to the tops of this set of two stacking tables and covered in a hand-applied vitreous finish. The base and legs are done in a hand-finished gold.

Product Weight: 20
Package Weight: 28",EUR-03-0676-1,20,10,25
EUR-03-0575,John Richard Esk Cocktail Table,John Richard,Tables > Cocktail Tables,925,2.00,1850,"17""H X 60""W X 30""D The base and top edge are finished in Mayan bronze, while the sides are finished in Aztec gold. The top has an inset cirrus mirror.

Dimensions: 17""H X 60""W X 30""D
Product Weight: 174
Package Weight: 222","EUR-03-0575-1, EUR-03-0575-2",60,30,17
EUR-03-0505,John Richard Chelsea Rectangular Cocktail Table,John Richard,Tables > Cocktail Tables,1255,2.00,2510,"17.25""H X 60""W X 30""D A mid-century-modern-inspired rectangular cocktail table in our beautiful walnut curl veneer atop a staggered ebony base.

Dimensions: 17.25""H X 60""W X 30""D
Product Weight: 147
Package Weight: 200","EUR-03-0505-1, EUR-03-0505-2",60,30,17.25
EUR-03-0511,John Richard Britten Cocktail Table,John Richard,Tables > Cocktail Tables,1285,2.00,2570,"15.75""H X 47""W X 47""D The floating Britten cocktail table is suspended in air by its painted bronze base, topped with its statement entedua veneer.

Dimensions: 15.75""H X 47""W X 47""D
Product Weight: 124
Package Weight: 204","EUR-03-0511-1, EUR-03-0511-2",47,47,15.75
