sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
BAA3063,Baker Angelo Console,Baker Furniture,Tables > Console Tables,13647,30%,9552.9,"The Angelo Console is attention-getting from every angle, with modern bolection styling carved from white Arabescato marble.

W 60in
D 12in
H 30in","BAA3063-1, BAA3063-2, BAA3063-3",60,12,30
MR7065,Baker Wrap Console,Baker Furniture,Tables > Console Tables,7197,30%,5037.9,"This is a striking construction of balancing planes: the legs raise above the top plane and reveal an interior of contrasting liquid metal texture.

Metal with Hardwood Solids and Stone
Base Finish - Oil Rubbed Bronze and Polished Bronze
Top - Honed Breccia Marble

W 72.75in
D 16.75in
H 34in","MR7065-1, MR7065-2, MR7065-3, MR7065-4",72.75,16.75,34
BAA3095,Baker Camillo Etagere,Baker Furniture,Étagère,6897,30%,4827.9,"The Camillo Etagere evokes the feeling of discovery. Inspired by continental travel and the jet set lifestyle, its design breaks boundaries to explore new forms of modernism.

Standard Finish(es): Grey Pearl with White Gold Leaf
Exterior in quartered walnut, finished in Grey Pearl
Interior finished in White Gold leaf with a torn technique, including the back panel and shelves

W 36in
D 16in
H 84in","BAA3095-1, BAA3095-2, BAA3095-3",36,16,84
BAA3295,Baker Infinite Etagere,Baker Furniture,Étagère,10947,30%,7662.9,"The Infinite Etagere was born from a vision of high-fashion couture. Its bronze form and irregular fretwork create a platform for starphire glass floating shelves.

Standard Finish(es): Natural Bronze frame with Liquid Bronze fretwork
Bronze etagere with textured cast bronze pierced pattern on sides and back
Starphire glass shelves

W 33in
D 14in
H 78.25in","BAA3295-1, BAA3295-2",33,14,78.25
BA8795,Baker Blade Etagere,Baker Furniture,Étagère,15447,30%,10812.9,"Inspired by the geometric paintings of Ellsworth Kelly, this sophisticated etagere acts as functional art for the home. The carefully scaled niches are perfect for display. Pair multiples together to form a low storage wall or to divide a room.

Standard Finish(es): Caviar, Luxe
Standard Metal Finish(es): Bright Bronze
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Mahogany solids and veneers with Brass accents
Four Fixed Compartments

W 50in
D 18in
H 33in","BA8795-1, BA8795-2, BA8795-3, BA8795-4",50,18,33
BA6148CS,Baker Lola Chaise,Baker Furniture,Seating > Chaises & Settees,14997,30%,10497.9,"The Lola represents the ultimate in modern elegance, with its angular and multi-faceted design. Its form speaks to the elegance of the Deco Era, while its geometric and complex lines allude to contemporary design. The chaise is an ideal complement for a boudoir or living room.

Standard Finish(es): American Walnut
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Baker Comfort cushion
Two Baker Comfort Plush bolsters (7 1/4"" x 23"")
Welt trim standard
Exposed wood - Beech and Walnut
Self Decking comes standard
Cushion is non-reversible

W     92in
D      31.5in
H      32in

WI     59in
AH    32in        
SH    18in","BA6148CS-1, BA6148CS-2, BA6148CS-3",92,31.5,32
MR4713CS,Baker Recamier Chaise,Baker Furniture,Seating > Chaises & Settees,7497,30%,5247.9,"Standard Finish: Guilded Black
Metal Finish: Antique Brass
Hardwood solids

W 78.5in
D 26.75in
H 32.25in

WI 62in        
DI 24.25in        
AH 26.5in        
SH 16.5in        ","MR4713CS-1, MR4713CS-2, MR4713CS-3, MR4713CS-4, MR4713CS-5, MR4713CS-6",78.5,26.75,32.25
BA6846CS,Baker Cleo Chaise,Baker Furniture,Seating > Chaises & Settees,10497,30%,7347.9,"Blurring the lines of art and furniture, this design serves dual purpose as both sculpture and chaise. This design is the perfect solution to create an impact in an interior.

Standard Finish(es): Oil Rubbed Bronze
Brass
Tight seat
Plain stitch

W  64.25in
D  23.25in
H  36.75in
W  64.25in       
D   23.25in        
H   36.75in    ","BA6846CS-1, BA6846CS-2, BA6846CS-3, BA6846CS-4, BA6846CS-5, BA6846CS-6",64.25,23.25,36.75
BA6369-85,Baker Paris Chaise Lounge,Baker Furniture,Seating > Chaises & Settees,8397,30%,5877.9,"This is an updated daybed with two low tufted arms and two bolsters. Tufted seat. Extensive nail head trim adds a graphic detail framing the silhouette. Tapered block feet. A chaise of this nature is high-style occasional seating. Unusually long, this frame is often used in lieu of a sofa - whether floating or against a wall. Its modest height also makes it suitable as a dramatic window seat. In an office or bedroom, it easily plays the role of a true daybed.

Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Tufted and Modern Stitch versions available
Tufted tight seat
Two Baker Fiberlux bolsters (6"" x 27"")
Arm covers not included
Exposed wood - Maple
Weltless construction standard
Nail trim optional (Upcharge)

W       85in        
D        29in     
H        22in        
AH      22in        
SH     16.5in      ","BA6369-85-1, BA6369-85-2",85,29,22
BA6134C-B,"Baker Athens Lounge Chair – Tufted",Baker Furniture,Seating > Occasional Chairs,9447,30%,6612.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Tufted seat
Tufted back
Welt trim
Hardware available in Bright Bronze or White Gold
Exposed Wood – Beech
Nail trim not available

Dimensions:
W 30.75in
D 33in
H 29.75in

WI: 25in
DI: 24.75in
AH: 21in
SH: 17.5in","BA6134C-B-1, BA6134C-B-2, BA6134C-B-3",30.75,33,29.75
BA6130C-B,"Baker Max Club Chair – Tufted",Baker Furniture,Seating > Occasional Chairs,8697,30%,6087.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Baker Comfort cushion
Tufted Back
Baker Comfort boxed back pillow (10″ x 19″)
Petite nails only at top of legs
Weltless base
Exposed Wood – Maple

Dimensions:
W 29.75in
D 37in
H 32in

WI: 20.5in
DI: 23in
AH: 20.5in
SH: 17in","BA6130C-B-1, BA6130C-B-2",29.75,37,32
BA6748C,"Baker Obi Lounge Chair",Baker Furniture,Seating > Occasional Chairs,6897,30%,4827.9,"Standard Finish(es): Awash, Cinder, Jet, Russet, Sand
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Loose seat cushion and tight back
One Baker Comfort seat cushion
Exposed wood: Mahogany

Dimensions:
W 37in
D 37.5in
H 27in

WI: 20in
DI: 25in
AH: 24.5in
SH: 17in","BA6748C-1, BA6748C-2, BA6748C-3, BA6748C-4, BA6748C-5",37,37.5,27
BA6741C,"Baker Verve Lounge Chair
",Baker Furniture,Seating > Occasional Chairs,8097,30%,5667.9,"Standard Finish(es): Warm Bronze
Loose seat cushion and knife edge back pillow
One Baker Comfort cushion
One Baker Comfort back pillow
Optional 360 degree swivel base (upcharges may apply)
Brass Base

Dimensions:
W 31.5in
D 37in
H 30.5in

WI: 26in
DI: 23in
SH: 18.5in","BA6741C-1, BA6741C-2, BA6741C-3, BA6741C-4, BA6741C-5",31.5,37,30.5
BA6369-32,"Baker Paris Club Chair",Baker Furniture,Seating > Occasional Chairs,7647,30%,5352.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Tufted and Modern Stitch versions available
Tight seat and back
Exposed wood – Maple
Weltless construction standard
Nail trim optional

Dimensions:
W 32.5in
D 34in
H 28.5in

WI: 20in
DI: 24in
AH: 28.5in
SH: 17.5in","BA6369-32-1, BA6369-32-2",32.5,34,28.5
BA6368,"Baker Bel-Air Lounge Chair",Baker Furniture,Seating > Occasional Chairs,5997,30%,4197.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
One Baker Comfort cushion
Tight back
Exposed wood – Maple
Weltless construction standard
Nail trim optional (upcharge)
Nail trim standard in leather
Arm covers not included

Dimensions:
W 26.5in
D 32in
H 34.5in

WI: 17in
DI: 23in
AH: 15.5in
SH: 16.5in",BA6368-1,26.5,32,34.5
BA5352,Baker Russian Empire Upholstered Cocktail Table,Baker Furniture,Tables > Cocktail Tables,7647,30%,5352.9,"The original of this Russian Empire Upholstered Cocktail Table is from a suite of furniture made by the workshop of renowned St. Petersburg cabinetmaker, Peter Gambs. The tight upholstered, deep button tufted seat cushion has canted angles and comes with a removable serving tray. Ebonized mahogany legs are powerfully carved on the knees with naturalistic lions' heads supported by formalized wings of acanthus scrolls and terminate to lion's paw feet. Russia c. 1840.

PRODUCT FEATURES
Standard Finish(es): Ebonized
Also available in Tier I, II and Specialty program finishes (upcharge may apply)
Mohagany solids
Upholstered top with deep tufting
Removable serving tray with felt bottom
Carved Cabriole leg featuring dog motif and pawed foot
Hand Painted Edges

Dimensions:
W 43.25in
D 43.25in
H 20.5in","BA5352-1, BA5352-2",28,33.5,38.5
BA6146C,"Baker Atrium Chair",Baker Furniture,Seating > Occasional Chairs,10197,30%,7137.9,"Standard Finish(es): Ebonized, Luxe
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Baker Comfort cushion
Tight back
One Baker Comfort KE back pillow (16×24)
Exposed wood – Maple

Dimensions:
W 32in
D 37.25in
H 36.5in

WI: 30in
DI: 20.5in
SH: 19in","BA6146C-1, BA6146C-2, BA6146C-3, BA6146C-4",32,37.25,36.5
BA6134C,"Baker Athens Lounge Chair",Baker Furniture,Seating > Occasional Chairs,9147,30%,6402.9,"Standard Finish(es): Sable, Cameo, Luxe
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Tight seat
Tight back
Welt trim
Hardware available in Bright Bronze or White Gold
Exposed Wood – Beech
Nail trim not available

Dimensions:
W 30.75in
D 33in
H 29.75in

WI: 25in
DI: 24.75in
AH: 21in
SH: 17.5in","BA6134C-1, BA6134C-2, BA6134C-3",30.75,33,29.75
BA6130C,"Baker Max Club Chair",Baker Furniture,Seating > Occasional Chairs,6897,30%,4827.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Baker Comfort cushion
Baker Comfort boxed back pillow (10″ x 19″)
Petite nails only at top of legs
Weltless base
Exposed Wood – Maple

W 29.75in
D 37in
H 32in

WI: 20.5in
DI: 23in
AH: 20.5in
SH: 17in","BA6130C-1, BA6130C-2",29.75,37,32
BA128S,"Baker Madison Sofa",Baker Furniture,Seating > Sofas,12747,30%,8922.9,"Standard Finish(es): American Walnut
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Two Baker Comfort cushions
Two Baker Comfort loose knife edge back pillows
Two Baker Comfort Plush loose knife edge throw pillows (16″ x 23″)
Welt trim standard
Exposed wood – Maple
Arm covers included

Dimensions:
W 85in
D 36in
H 34in

WI: 73in
DI: 22in
AH: 29in
SH: 19in",BA128S-1,85,36,34
BA6104-94,"Baker Neue Sofa",Baker Furniture,Seating > Sofas,14097,30%,9867.9,"Standard Finish(es): American Walnut
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Exposed Wood – Maple
Three Baker Comfort back pillows
One Baker Comfort cushion
Welt trim standard

Dimensions:
W 94in
D 40in
H 35in

WI: 84in
DI: 23in
AH: 22.5in
SH: 18in",BA6104-94-1,94,40,35
BA6729S,"Baker Presidio Sofa",Baker Furniture,Seating > Sofas,11847,30%,8292.9,"Standard Finish(es): Maduro, Havana, Dune and Sienna
Also available in Type I, II and Specialty program finishes (upcharge may apply)
One Baker Comfort weltless bench cushion
Two Baker Comfort Plush Knife Edge weltless throw pillows, 19″
Two Baker Comfort Plush weltless boxed throw pillows 14″ x 24″ x 2 1/2″
One Baker Comfort Plush knife edge weltless throw pillow, 11″ x 25″
Arm covers not included
Optional brass ferrules for front legs (upcharge may apply)
Welt trim standard on base only
Exposed wood – Beech

Dimensions:
89.5″W x 39.5″D x 34″H

WI: 80.5″
DI: 21″
AH: 32.5″
SH: 18″","BA6729S-1, BA6729S-2, BA6729S-3, BA6729S-4",89.5,39.5,34
BA6130L,"Baker Max Loveseat",Baker Furniture,Seating > Sofas,11847,30%,8292.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Two Baker Comfort cushions – tailored
Two Baker Comfort boxed back pillows – 10″ x 29.5″
Petite nails only at top of legs
Weltless base
Exposed Wood – Maple

Dimensions:
69.75″W x 37″D x 32″H

WI: 60.5″
DI: 23″
AH: 20.5″
SH: 17″","BA6130L-1, BA6130L-2, BA6130L-3, BA6130L-4",69.75,37,32
BA6354-87,"Baker Wren Tufted Sofa",Baker Furniture,Seating > Sofas,15597,30%,10917.9,"Standard Finish(es): American Walnut
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Exposed wood – Maple
Three Baker Crown Support cushions
Buttoned tight back
Welt trim standard (nail trim not available)
Welt base standard
Burnished Bronze Brass finish on ferrules standard
Arm covers not included

Dimensions:
87.5″W x 35.5″D x 29″H

AH: 29″
SH: 18.5″","BA6354-87-1, BA6354-87-2",87.5,35.5,29
BA6130S-B,"Baker Max Sofa Tufted",Baker Furniture,Seating > Sofas,13647,30%,9552.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Three Baker Comfort cushions
Tufted Back
Baker Comfort boxed back pillows – Two 10″ x 29″, One 10″ x 30″
Petite nails only at top of legs
Weltless base
Exposed Wood – Maple
Available as loveseat

Dimensions:
98.75″W x 37″D x 32″H

AH: 20.5″
SH: 17″","BA6130S-B-1, BA6130S-B-2",98.75,37,32
BA6130S,"Baker Max Sofa",Baker Furniture,Seating > Sofas,13047,30%,9132.9,"Standard Finish(es): Sable
Also available in Type I, II and Specialty program finishes (upcharge may apply)
Three Baker Comfort cushions
Baker Comfort boxed back pillows – Two 10″ x 29″, One 10″ x 30″
Petite nails only at top of legs
Weltless base
Exposed Wood – Maple
Available as loveseat (6130L)

Dimensions:
W 98.75in
D 37in
H 32in

WI: 89.5″
DI: 23″
AH: 20.5″
SH: 17″","BA6130S-1, BA6130S-2",98.75,37,32
BAU2500C,"Baker Margeaux Lounge Chair",Baker Furniture,Seating > Occasional Chairs,6897,30%,4827.9,"Also available in Type I, II and Specialty program finishes (upcharge may apply)
Mahogany with upholstered seat and back
No nail trim option
Worn Gilt tipping (upcharge)

Dimensions:
W 26.5in
D 26.75in
H 32.5in

WI: 20in
DI: 20.5in
AH: 27in
SH: 17.5in","BAU2500C-1, BAU2500C-2, BAU2500C-3",26.5,26.75,32.5
BAA3231,Baker Bella Chest,Baker Furniture,Chests,8547,30%,5982.9,"Smart, sculptural and whimsical, the brass Bella Chest is inspired by the imaginative foliage of a botanical garden.

PRODUCT FEATURES
Standard Finish(es): Bright Brass
Case wrapped in brass with carved motif on door fronts
Reclaimed teak wrapped in brass
Textured door fronts
Behind two doors are two adjustable shelves

Dimensions:
W	48.5in	
D	16in	
H	33in","BAA3231-1, BAA3231-2, BAA3231-3, BAA3231-4, BAA3231-5",48.5,16,33
BAA3257,Baker Agate Cocktail Table,Baker Furniture,Tables > Cocktail Tables,10347,30%,7242.9,"The Agate Cocktail Table is sleek and boldly stylish. Its modern form features an argyle pattern in natural agate inlay.

PRODUCT FEATURES
Inset agate in clear acrylic
Disclaimer: Agate is a naturally-occurring gemstone that displays a variety of intricate patterns and colors. It has been prized for its beauty for thousands of years, including in Ancient Greece, where it was used for jewelry and decoration. Due to its natural properties, each piece will vary in its color shade, size and shape. No two pieces are exactly alike.

W	54in	
D	30in	
H	16in","BAA3257-1, BAA3257-2, BAA3257-3, BAA3257-4, BAA3257-5, BAA3257-6",54,30,16
BAA3266,Baker Reflection Console Table,Baker Furniture,Tables > Console Tables,20547,30%,14382.9,"The fashion-forward Reflection Console carries on the spirit of 1970s modernism. Its disco ball-inspired design casts a stunning kaleidoscope of light. The starphire glass top has the option to be removed for a more sculptural look.

PRODUCT FEATURES
Faceted mirrored console with 1/2"" thick starphire glass top
Top can be removed
Stainless steel caps provided

W	48.5in	
D	16.75in	
H	31in","BAA3266-1, BAA3266-2, BAA3266-3, BAA3266-4, BAA3266-5",48.5,16.75,31
BAA3220K,Baker Adriana King Bed,Baker Furniture,Beds,10347,30%,7242.9,"The Adriana Bed appears both soft and striking. Its pillowed silhouette is crafted in figured English sycamore for a rich, radiant look.

PRODUCT FEATURES
Standard Finish(es): Sterling
Italian dyed figured English sycamore veneer

W	80.5in	
D	84.5in	
H	54in","BAA3220K-1, BAA3220K-2, BAA3220K-3, BAA3220K-4",80.5,54.5,54
BAU3114S,Baker Ashton Sofa,Baker Furniture,Seating > Sofas,12147,30%,8502.9,"Inspired by the channel quilt pattern made famous by Chanel, the Ashton Sofa is a fully upholstered piece with a bench cushion.

PRODUCT FEATURES
Also available in Tier I, II and Specialty program finishes (upcharge may apply)
Fully upholstered legs with single seat cushion
Exposed wood base with tight channeled tufted inside
(2) 20"" knife edge Baker Comfort Ultraplush throw pillows are standard
Arm covers included

W        96in        
D        39in        
H        30.5in

WI        84in        
DI         26in        
AH       30.5in        
SH       17.75in","BAU3114S-1, BAU3114S-2, BAU3114S-3, BAU3114S-4",96,39,30.5
BAA3252,Baker Menlo Cocktail Table,Baker Furniture,Tables > Cocktail Tables,10347,30%,7242.9,"Crafted in nickel plated brass and crystal, the Menlo Cocktail Table is inspired by baguette diamond bracelets. Its cylindrical shape fractures the light, creating a 360-degree showcase of luminous crystal detailing.

PRODUCT FEATURES
Standard Finish(es): Polished Nickel and Crystal
Top and base are nickel plated brass
Posts are crystal
Disclaimer: Our crystal is a type of optical glass made by professional glassmakers. Each piece of crystal is carefully cut from a larger block, then shaped and polished. Because of this handcrafted process and the varying amount of bubbles within the crystal, each piece is entirely unique.

W	24in	
D	24in	
H	18in","BAA3252-1, BAA3252-2, BAA3252-3",24,24,18
BA9282,Baker Reloj Drink Table,Baker Furniture,Tables > End Tables,4497,30%,3147.9,"The Reloj Drink Table made of three individual pieces of three different materials where each piece fits together like 3D puzzles to make one sculptural whole. The top stone is intersected by the brass piece and is reminiscent of a sundial. The name Reloj means clock in Spanish. It is made of intersecting onyx and polished brass base with your choice of a marble top, Ming Green with Ice or Moncervetto with Ice.

PRODUCT FEATURES
Standard Finish(es): Ming Green with Ice, Moncervetto with Ice
Standard Metal Finish(es): Polished Brass
Intersecting Onyx and Brass Base
Choice of Marble Top

W	16in	
D	16in	
H	19in","BA9282-1, BA9282-2, BA9282-3",16,16,19
BA6156C,Baker Condessa Lounge Chair,Baker Furniture,Seating > Occasional Chairs,7797,30%,5457.9,"The Condessa Lounge Chair is inspired by the traditional barrel back tete a tete chairs found in the public gardens of the Yucatan tempered by the influence of Mexico City Art Deco. These elements, combined with a tight bucket seat and deeply channeled back, make this design extremely fresh and relevant. It is available in a miel or cacao standard finish.

PRODUCT FEATURES
Standard Finish(es): Cacao, Miel
Also available in Tier I, II and Specialty program finishes (upcharge may apply)
Oak Frame
Tight Seat
Tight Back
Quilted Outside Back

W	26.5in	
D	29.25in	
H	30in","BA6156C-1, BA6156C-2, BA6156C-3, BA6156C-4, BA6156C-5, BA6156C-6",26.5,29.25,30
BALK303,Baker Companas Pendant,Baker Furniture,Lighting > Pendants,10947,30%,7662.9,"The Compañas Pendant is inspired by wind chimes and mechanical counter weights. It is made of frosted white glass and hand-hammered brass.

PRODUCT FEATURES
Standard Finish(es): White Frosted Glass
Three Frosted Glass and Hammered Brass Pendants
Polished Brass Ceiling Plate
Hardwired for Wall Switch
Accepts Three 60W Type B Incandescent Bulbs

W	12in	
D	12in	
H	25.75in","BALK303-1, BALK303-2",12,12,25.75
MR7041,Baker Cane Arm Chair,Baker Furniture,Seating > Dining Chairs,3897,30%,2727.9,"These classic dining chairs utilize traditional caning but keep it modern with sharp, geometric shapes and silhouettes.

PRODUCT FEATURES
Standard Finish(es): Blackened Walnut with Black Caning and Antique Bronze, Natural Walnut with Natural Caning and Oil Rubbed Bronze
Hardwood solids, metal and caning

W	21.5in	
D	23.5in	
H	35in","MR7041-1, MR7041-2, MR7041-3, MR7041-4",21.5,23.5,35
MR7040,Baker Cane Side Chair,Baker Furniture,Seating > Dining Chairs,3597,30%,2517.9,"These classic dining chairs utilize traditional caning but keep it modern with sharp, geometric shapes and silhouettes

PRODUCT FEATURES
Standard Finish(es): Blackened Walnut with Black Caning and Antique Bronze, Natural Walnut with Natural Caning and Oil Rubbed Bronze
Hardwood Solids, Metal and Caning

W	21.5in	
D	23.5in	
H	35in","MR7040-1, MR7040-2, MR7040-3, MR7040-4",21.5,23.5,35
BA7841,Baker Ritz Dining Chair,Baker Furniture,Seating > Dining Chairs,4047,30%,2832.9,"This chair was inspired by the salon chairs of the 1940s. The perfect chair to mix with almost any wood frame dining chair or used alone.

PRODUCT FEATURES
Standard Finish(es): Sable
Also available in Tier I, II and Specialty program finishes (upcharge may apply)
Hardwood solid legs
Upholstered tight seat and tufted back
Metal pull and nail head trim on outside back standard
Outside back requires 1.25 yards for contrast fabric

W	23in	
D	22.5in	
H	36in
","BA7841-1, BA7841-2, BA7841-3, BA7841-4, BA7841-5",23,22.5,36
BA8640,Baker Shell Side Chair,Baker Furniture,Seating > Dining Chairs,4947,30%,3462.9,"Thomas Pheasant is drawn not just to classical design, but also to the many turns in its development. After the French Revolution, the curved back directoire chair spoke the language of popular optimism, reinvented itself with an elitist accent during the height of Art Deco luxury, and now draws runway whispers in a leaner and more modern rendition pushing the limits of the silhouette. The Shell refers to the back, with just enough curve and just enough pitch, enveloping the seat. Having reduced the form to its essence, the designer then adds a single rich detail-a cast Bronze ribbon pull with an organic texture and a polished interior. The Shell can work in a wide range of settings. More refined than modern, the Shell is proof that elegance and comfort need not compete. This form works at round, oval, and rectangular dining tables.

PRODUCT FEATURES
Standard Finish(es): Luxe
Standard Metal Finish(es): Organic Bronze
Also available in Tier I, II and Specialty program finishes (upcharge may apply)
Mahogany solids and upholstered seat
Bronze Metal Pull tab on outside back
Petite French Natural nail head trim above post standard

W	20.75in	
D	25.5in	
H	36in","BA8640-1, BA8640-2, BA8640-3",20.75,25.5,36
MCA2605S,Baker Nami Sofa,Baker Furniture,Seating > Sofas,17097,30%,11967.9,"THOMAS PHEASANT COLLECTION 

Tight seat and back sofa wrapped in an oak solid and quartered oak veneer cuff with square mesh caning.

Thomas Pheasant is an award-winning interior designer who has been recognized internationally for his interior design and furniture collections. Pheasant’s style conveys modern elegance:  calm, luxurious interiors that emphasize elements of quality and comfort. He is known as the master of the neutral palette, brought to life in his own signature pieces. Pheasant focuses on bringing a contemporary dimension to classic design principles, bridging past and present with beautiful silhouettes and distinctive fabrics.

PRODUCT FEATURES
Available August 2021
Standard Finish(es): Straw
Optional Finish(es): Quarry, Ink (upcharge)
Available in Tier 1, 2, 3 and 4 program finishes
Tight seat and back
Quartered oak veneer cuff with square mesh caning

W: 110.5in       
D: 41in       
H: 28.5in

WI: 89in        
DI: 23in        
SH: 15in       ","MCA2605S-1, MCA2605S-2, MCA2605S-3, MCA2605S-4, MCA2605S-5",110.5,41,28.5
